Crop,N,P,K,Temperature,Humidity,Moisture,Soil_Type,Fertilizer
Maize,69,80,42,24.8,55.8,84.5,Clay,NPK
Rice,44,18,10,37.9,40.9,81.5,Loamy,Urea
Millet,38,34,69,38.4,54.3,40.2,Sandy,SSP
Millet,54,11,30,36.6,62.1,57.2,Sandy,SSP
Tomato,57,12,69,30.4,57.2,85.3,Black,MOP
Sugarcane,32,21,21,15.1,54.7,58.7,Black,Compost
Sugarcane,70,25,64,31.1,67.5,81.1,Sandy,Compost
Cotton,22,64,10,17.2,48.7,81.4,Black,MOP
Wheat,114,55,61,32.0,85.1,51.8,Clay,DAP
Rice,121,74,20,23.3,78.1,34.9,Loamy,Urea
Maize,106,55,68,32.5,44.6,77.4,Black,NPK
Tomato,82,68,20,21.0,30.5,84.7,Sandy,Organic
Rice,51,67,63,32.3,36.2,63.8,Loamy,Urea
Tomato,24,58,74,35.2,66.2,74.6,Sandy,Organic
Rice,118,44,22,15.2,48.7,84.6,Sandy,Urea
Millet,74,26,61,28.8,77.1,43.0,Clay,SSP
Maize,85,62,50,29.6,89.4,59.4,Red,NPK
Maize,76,49,59,28.4,37.5,88.9,Clay,NPK
Tomato,102,70,66,23.3,51.3,72.6,Sandy,Organic
Tomato,125,41,77,38.3,65.8,44.4,Clay,Organic
Cotton,140,53,28,30.0,81.1,31.1,Clay,Organic
Wheat,92,71,47,37.4,76.5,35.2,Loamy,DAP
Tomato,62,10,24,36.0,32.2,69.4,Clay,Organic
Cotton,111,24,36,29.7,34.9,73.0,Black,MOP
Sugarcane,35,48,31,23.1,74.0,77.3,Red,NPK
Cotton,125,50,47,35.0,63.9,36.5,Black,MOP
Tomato,34,22,72,18.6,62.5,44.1,Red,Organic
Wheat,34,54,12,30.8,57.1,64.9,Red,DAP
Sugarcane,20,11,20,34.2,65.9,38.2,Clay,Compost
Cotton,132,10,58,18.5,59.5,28.8,Red,MOP
Wheat,75,15,45,29.1,51.9,51.5,Red,DAP
Rice,71,33,44,19.8,54.0,76.7,Red,Urea
Wheat,42,18,17,16.9,76.0,83.8,Sandy,DAP
Sugarcane,54,75,18,19.2,53.8,53.2,Red,Compost
Cotton,115,40,45,30.1,47.1,30.7,Red,MOP
Wheat,102,34,24,28.7,68.1,59.2,Clay,DAP
Wheat,45,36,63,20.0,38.0,77.9,Red,DAP
Maize,134,48,75,27.7,59.4,56.1,Loamy,Organic
Maize,88,67,26,28.9,67.9,25.1,Black,NPK
Wheat,70,26,75,24.7,58.9,58.9,Loamy,Organic
Tomato,119,35,51,35.4,37.4,85.8,Black,Organic
Wheat,117,79,41,20.0,68.6,24.7,Sandy,DAP
Millet,94,17,17,17.8,39.8,42.2,Black,SSP
Wheat,102,76,41,33.2,44.8,87.3,Loamy,DAP
Tomato,93,10,41,23.7,65.7,46.3,Sandy,DAP
Maize,37,77,42,38.2,55.1,22.8,Black,NPK
Tomato,29,54,60,15.1,73.6,34.6,Sandy,Organic
Maize,111,13,32,31.4,45.0,83.1,Red,MOP
Millet,63,19,50,39.0,39.6,73.0,Sandy,SSP
Tomato,62,62,25,36.8,31.0,41.3,Clay,Organic
Cotton,112,15,29,37.8,51.0,58.6,Red,MOP
Maize,140,24,44,23.5,40.4,40.6,Black,NPK
Cotton,114,51,54,23.5,32.2,62.3,Red,MOP
Cotton,140,27,53,38.0,63.0,20.4,Sandy,MOP
Tomato,61,58,34,32.2,88.4,20.8,Red,Organic
Sugarcane,95,65,74,35.9,75.9,88.7,Red,Compost
Sugarcane,140,14,66,22.3,77.9,34.7,Sandy,Compost
Wheat,53,34,59,17.8,58.2,73.8,Sandy,DAP
Tomato,73,42,17,16.2,37.5,75.9,Clay,Organic
Millet,46,20,37,30.3,86.3,25.4,Clay,SSP
Maize,48,40,41,34.5,54.6,59.0,Sandy,DAP
Maize,78,14,70,15.3,59.7,34.4,Clay,NPK
Sugarcane,92,64,58,17.2,43.7,48.2,Black,Compost
Cotton,86,19,15,27.5,34.9,46.8,Sandy,MOP
Rice,51,58,67,29.7,79.4,26.2,Red,Urea
Rice,86,31,79,36.3,71.0,20.0,Clay,Urea
Cotton,127,23,29,27.1,31.7,67.9,Loamy,MOP
Maize,101,79,49,16.7,37.2,68.9,Red,NPK
Maize,96,43,61,26.8,90.0,20.2,Sandy,Organic
Maize,25,34,75,26.2,81.3,71.7,Clay,NPK
Rice,39,80,71,16.9,44.7,48.7,Red,Urea
Millet,69,14,64,39.7,30.1,77.9,Clay,SSP
Wheat,67,27,26,18.2,50.4,70.9,Sandy,DAP
Tomato,83,40,46,15.4,46.8,69.4,Red,Organic
Millet,128,50,50,17.3,75.2,58.2,Clay,SSP
Wheat,123,49,64,34.2,41.5,44.7,Red,DAP
Wheat,21,39,37,21.4,67.5,52.4,Clay,DAP
Wheat,40,53,42,19.4,47.3,89.8,Red,DAP
Wheat,22,49,28,24.8,71.0,57.7,Loamy,DAP
Wheat,134,36,12,31.3,72.7,39.6,Red,DAP
Millet,33,42,68,19.2,35.5,56.5,Red,MOP
Sugarcane,66,79,28,25.2,88.9,22.1,Black,Compost
Sugarcane,115,73,16,16.0,59.1,37.3,Red,MOP
Sugarcane,134,15,63,27.7,73.9,82.6,Loamy,Compost
Wheat,87,53,63,33.5,60.2,81.4,Clay,Organic
Maize,103,60,63,27.8,74.2,22.2,Loamy,NPK
Cotton,113,13,54,20.7,82.5,59.7,Clay,MOP
Tomato,134,13,63,16.8,78.8,55.9,Clay,Organic
Wheat,126,64,58,30.3,86.6,44.2,Clay,DAP
Millet,97,56,52,23.7,40.3,30.7,Loamy,SSP
Sugarcane,41,14,50,15.2,65.0,89.6,Clay,Compost
Sugarcane,32,32,73,32.9,68.4,31.1,Sandy,MOP
Rice,31,44,62,30.5,78.4,52.2,Black,Urea
Maize,23,33,68,38.9,62.1,78.8,Black,NPK
Tomato,43,12,74,17.5,76.2,22.0,Clay,Organic
Cotton,64,37,44,17.2,78.3,28.1,Sandy,MOP
Sugarcane,88,77,13,16.5,43.6,76.4,Sandy,Compost
Rice,89,13,12,38.2,30.7,48.0,Loamy,Urea
Sugarcane,35,23,26,38.4,80.3,76.9,Clay,Compost
Rice,72,78,48,25.7,35.9,47.8,Clay,Urea
Sugarcane,58,21,44,22.2,39.0,50.2,Loamy,Compost
Rice,98,47,67,15.6,57.9,51.9,Sandy,Urea
Tomato,43,44,68,35.3,71.7,66.2,Black,Organic
Millet,54,53,42,17.4,57.1,34.4,Black,SSP
Cotton,44,77,31,24.4,70.0,51.0,Clay,MOP
Maize,20,42,22,34.3,48.0,80.5,Loamy,NPK
Cotton,115,57,66,25.9,57.3,21.7,Clay,MOP
Wheat,98,50,80,33.3,78.9,63.3,Loamy,DAP
Maize,135,22,28,36.5,78.7,76.2,Black,NPK
Wheat,44,67,48,35.5,68.1,34.8,Loamy,Organic
Wheat,77,70,40,38.7,76.8,49.7,Sandy,DAP
Cotton,98,49,11,37.5,85.3,66.7,Loamy,MOP
Sugarcane,70,41,75,27.6,36.0,61.1,Loamy,DAP
Rice,105,20,55,39.3,85.1,76.9,Loamy,Urea
Millet,107,17,78,23.5,68.4,50.2,Black,SSP
Tomato,120,30,20,22.4,39.5,49.4,Loamy,Organic
Sugarcane,108,37,64,17.2,38.2,89.6,Loamy,Compost
Tomato,56,14,71,39.0,64.1,33.3,Black,Organic
Rice,98,24,70,34.2,61.5,65.7,Clay,Urea
Wheat,118,18,53,16.9,33.6,81.8,Loamy,DAP
Rice,90,63,51,28.1,60.4,46.2,Red,Urea
Sugarcane,69,35,39,31.3,75.3,67.4,Loamy,Compost
Millet,22,20,60,35.6,45.5,79.4,Sandy,DAP
Sugarcane,139,38,60,35.4,41.7,75.3,Loamy,Compost
Rice,26,20,29,26.0,68.1,27.6,Loamy,Urea
Cotton,39,39,52,35.5,40.2,67.8,Loamy,MOP
Sugarcane,66,20,65,21.7,37.7,49.5,Loamy,Compost
Cotton,28,53,54,39.1,60.4,54.2,Clay,MOP
Millet,77,19,80,17.2,55.6,82.8,Sandy,SSP
Maize,96,68,33,37.7,78.6,20.4,Clay,NPK
Cotton,52,69,65,20.0,64.0,57.1,Loamy,MOP
Maize,68,67,44,26.8,79.1,33.7,Sandy,NPK
Millet,101,56,29,18.2,37.4,48.5,Red,SSP
Maize,88,20,62,36.7,43.1,22.5,Red,NPK
Wheat,46,16,29,32.9,47.9,57.3,Red,DAP
Millet,113,28,74,35.2,32.5,30.1,Black,SSP
Sugarcane,95,27,79,21.9,32.9,39.9,Sandy,Compost
Sugarcane,130,49,56,19.1,78.0,23.1,Black,Compost
Sugarcane,95,22,46,24.7,83.7,78.3,Loamy,Compost
Cotton,108,50,61,26.5,38.6,51.3,Sandy,MOP
Sugarcane,49,16,18,18.2,74.3,66.4,Loamy,Compost
Rice,30,62,32,27.3,50.5,41.3,Sandy,Urea
Maize,71,18,46,16.7,53.1,28.9,Sandy,NPK
Maize,104,57,45,15.2,89.9,82.8,Black,NPK
Maize,126,68,35,36.9,69.0,76.2,Loamy,SSP
Maize,42,71,58,19.0,60.4,56.9,Clay,NPK
Maize,65,21,66,29.7,48.9,78.6,Loamy,NPK
Millet,42,21,50,33.2,78.6,78.6,Sandy,SSP
Tomato,90,69,56,29.8,71.7,62.9,Clay,Organic
Cotton,86,49,27,18.1,68.1,36.4,Loamy,MOP
Tomato,73,73,14,32.5,42.0,85.4,Red,SSP
Cotton,43,25,63,32.4,83.6,53.1,Clay,MOP
Millet,37,57,68,35.7,69.8,35.4,Clay,SSP
Wheat,27,32,21,38.5,53.6,88.5,Red,SSP
Rice,138,11,43,22.0,32.7,20.9,Loamy,Urea
Sugarcane,65,77,70,32.3,60.6,42.7,Clay,Compost
Cotton,112,78,57,28.2,76.2,32.1,Loamy,MOP
Cotton,111,78,13,32.5,67.3,59.3,Sandy,MOP
Sugarcane,26,79,25,15.9,31.2,68.6,Sandy,Compost
Maize,69,58,64,31.8,42.0,62.2,Loamy,NPK
Rice,135,11,43,26.7,57.5,61.0,Sandy,Urea
Wheat,64,41,68,35.7,87.5,50.8,Loamy,DAP
Tomato,57,22,64,30.6,32.6,79.4,Loamy,NPK
Wheat,79,64,41,36.4,37.4,25.6,Black,DAP
Tomato,123,57,12,21.2,55.7,41.2,Loamy,Organic
Sugarcane,133,24,28,29.1,74.0,39.5,Black,DAP
Millet,56,58,24,23.2,65.3,76.8,Red,SSP
Wheat,48,46,20,36.0,38.4,20.8,Black,DAP
Millet,62,55,73,21.3,71.9,24.7,Red,SSP
Millet,79,19,53,22.6,87.2,21.7,Black,SSP
Wheat,53,77,76,28.7,50.9,39.4,Clay,DAP
Cotton,34,59,10,25.7,77.7,61.9,Sandy,Urea
Cotton,139,28,65,26.2,51.0,34.0,Clay,MOP
Cotton,94,28,10,26.7,35.5,84.1,Sandy,MOP
Maize,124,34,58,35.4,72.5,59.4,Loamy,NPK
Maize,121,64,28,35.2,50.3,70.0,Black,Organic
Millet,23,30,67,16.8,62.5,66.4,Red,SSP
Rice,135,23,30,33.1,31.1,29.4,Sandy,Urea
Cotton,75,50,36,37.2,55.4,81.1,Clay,MOP
Tomato,80,10,56,16.1,33.9,75.5,Red,SSP
Wheat,72,21,59,31.8,55.7,73.9,Loamy,DAP
Cotton,105,52,37,36.9,86.3,46.8,Clay,MOP
Wheat,53,75,46,17.2,68.1,85.4,Loamy,DAP
Rice,80,54,30,32.3,56.6,60.8,Loamy,Urea
Tomato,46,35,23,22.5,33.0,24.4,Clay,Organic
Rice,134,14,18,23.9,54.7,24.6,Red,Urea
Rice,30,12,62,32.6,51.3,70.7,Red,Urea
Maize,101,23,24,38.3,61.3,79.5,Clay,MOP
Tomato,40,59,25,38.8,63.0,70.0,Sandy,NPK
Millet,119,17,30,29.4,59.2,88.7,Sandy,SSP
Sugarcane,56,26,33,29.3,75.6,48.4,Clay,Compost
Sugarcane,75,22,51,31.3,54.4,63.2,Clay,Compost
Cotton,132,42,41,24.4,60.0,72.7,Loamy,MOP
Cotton,103,78,52,36.6,89.6,76.1,Red,Organic
Maize,133,76,59,35.4,79.1,75.9,Black,NPK
Maize,43,43,54,39.3,83.0,35.5,Sandy,NPK
Wheat,116,50,43,15.5,40.3,43.3,Loamy,DAP
Millet,108,30,44,29.3,67.0,86.0,Red,Organic
Tomato,37,65,74,26.2,82.7,54.4,Clay,Organic
Tomato,22,55,60,23.9,54.0,62.1,Red,Organic
Wheat,101,35,37,39.6,50.4,71.9,Sandy,DAP
Sugarcane,132,21,48,20.8,53.0,62.7,Sandy,Compost
Maize,20,70,54,22.1,59.6,36.5,Black,NPK
Wheat,39,65,64,31.2,56.9,27.5,Sandy,DAP
Rice,88,57,74,19.5,60.3,69.5,Sandy,Urea
Millet,29,17,13,24.0,56.0,25.2,Red,SSP
Maize,74,71,67,20.0,73.4,77.7,Black,DAP
Millet,56,34,47,25.1,68.3,72.5,Sandy,SSP
Sugarcane,65,59,79,26.0,39.8,55.0,Black,Compost
Sugarcane,102,75,51,18.3,42.2,33.2,Red,Compost
Sugarcane,67,23,43,16.7,59.5,26.3,Red,Compost
Wheat,36,26,50,15.1,85.7,64.4,Sandy,Compost
Millet,136,73,67,34.9,68.2,72.7,Sandy,SSP
Wheat,110,40,77,25.3,85.6,38.9,Clay,DAP
Cotton,36,52,69,28.3,54.8,89.7,Loamy,SSP
Millet,131,33,31,38.1,45.6,82.3,Sandy,SSP
Tomato,83,33,58,34.2,64.1,58.5,Black,Organic
Wheat,115,67,33,38.5,45.3,51.8,Sandy,DAP
Cotton,25,61,53,23.2,86.8,24.3,Clay,MOP
Maize,97,35,26,39.5,69.6,66.3,Red,NPK
Cotton,131,15,42,19.5,34.9,71.7,Red,MOP
Wheat,26,66,65,35.3,64.4,67.8,Sandy,DAP
Rice,63,71,76,23.5,79.3,38.4,Loamy,Urea
Sugarcane,94,72,74,30.4,32.3,26.7,Clay,Compost
Tomato,48,50,15,24.9,61.3,87.4,Sandy,Compost
Cotton,50,80,69,19.9,64.5,47.4,Sandy,MOP
Wheat,85,17,43,31.0,80.1,56.0,Clay,NPK
Maize,56,52,11,38.4,45.5,81.2,Sandy,NPK
Sugarcane,72,78,11,24.6,51.1,61.4,Black,SSP
Maize,41,54,75,16.6,63.1,29.3,Loamy,NPK
Cotton,102,77,20,39.7,47.8,75.2,Black,SSP
Sugarcane,106,64,29,17.8,50.6,37.1,Black,Urea
Tomato,78,15,35,22.0,79.4,72.3,Black,Organic
Sugarcane,48,32,77,32.3,31.0,34.9,Clay,Compost
Wheat,61,77,60,19.8,56.7,35.2,Clay,DAP
Millet,60,14,53,27.0,80.2,86.9,Black,SSP
Maize,61,42,39,39.4,76.7,31.7,Red,NPK
Sugarcane,39,53,70,23.8,63.7,30.2,Red,Compost
Wheat,122,67,22,27.3,52.2,88.4,Sandy,DAP
Millet,27,68,38,29.7,82.7,79.7,Black,SSP
Cotton,84,29,67,35.0,87.1,21.4,Loamy,Organic
Cotton,68,71,30,31.3,87.5,41.3,Clay,MOP
Millet,99,20,48,21.1,66.7,59.6,Clay,SSP
Cotton,136,21,16,37.9,80.5,64.5,Red,MOP
Maize,108,56,14,21.9,37.6,28.6,Red,NPK
Millet,128,72,37,22.5,65.6,61.2,Loamy,SSP
Cotton,45,35,62,18.3,41.3,70.2,Loamy,MOP
Wheat,30,79,70,37.1,48.7,41.2,Red,DAP
Cotton,140,80,35,22.5,51.7,32.5,Loamy,MOP
Sugarcane,62,15,36,33.2,80.9,38.3,Black,Compost
Cotton,84,77,30,38.9,47.3,72.6,Red,MOP
Tomato,121,26,38,39.6,41.4,48.4,Clay,DAP
Sugarcane,75,54,61,30.3,45.1,88.2,Clay,Compost
Tomato,42,26,15,31.4,58.8,45.6,Black,Organic
Cotton,50,42,65,35.8,75.9,81.4,Black,MOP
Wheat,21,20,14,34.1,81.1,45.7,Black,DAP
Wheat,52,48,54,24.2,83.1,58.2,Clay,Compost
Cotton,43,34,68,22.8,33.2,85.4,Sandy,MOP
Maize,80,14,22,22.7,64.4,54.7,Loamy,NPK
Maize,40,44,39,22.4,43.1,70.5,Clay,NPK
Sugarcane,31,60,46,17.0,66.0,52.3,Loamy,Compost
Sugarcane,21,71,29,38.5,59.5,25.3,Red,Compost
Rice,100,80,38,27.6,85.7,85.8,Clay,Urea
Sugarcane,136,39,37,30.1,76.9,27.1,Clay,Compost
Cotton,88,50,22,24.1,37.6,76.7,Red,MOP
Sugarcane,66,51,80,23.9,89.6,59.1,Sandy,Compost
Rice,132,32,79,20.2,52.8,32.9,Black,Urea
Sugarcane,47,72,52,22.1,44.3,81.9,Black,Compost
Millet,76,45,27,15.2,66.8,77.1,Black,SSP
Maize,139,24,80,26.0,45.6,68.5,Black,NPK
Rice,94,59,48,27.0,64.0,22.9,Red,DAP
Millet,24,19,72,18.8,37.3,33.4,Clay,SSP
Millet,112,51,38,27.8,85.5,52.5,Red,SSP
Cotton,45,11,67,30.7,49.2,85.2,Red,MOP
Wheat,132,79,74,37.7,40.1,45.4,Red,DAP
Millet,66,56,50,32.4,72.0,55.6,Sandy,SSP
Cotton,88,77,27,35.4,44.3,36.0,Loamy,MOP
Tomato,108,22,39,15.2,69.2,44.9,Red,Organic
Rice,112,31,59,30.3,33.1,81.4,Clay,Urea
Millet,33,70,44,16.3,79.1,35.7,Sandy,SSP
Rice,66,52,50,32.6,33.5,48.2,Red,Urea
Wheat,43,31,11,25.1,43.5,37.1,Black,DAP
Sugarcane,128,23,46,38.7,74.0,25.7,Clay,Compost
Tomato,95,32,12,37.8,81.5,82.6,Sandy,NPK
Cotton,55,71,20,21.3,74.7,58.6,Red,MOP
Maize,85,12,15,17.2,66.8,77.7,Loamy,NPK
Millet,33,31,56,37.7,44.9,50.1,Loamy,SSP
Cotton,114,18,22,31.0,73.0,27.6,Loamy,MOP
Wheat,43,28,73,23.0,58.7,27.1,Loamy,DAP
Millet,34,40,54,20.6,64.6,37.1,Loamy,SSP
Tomato,110,34,57,15.1,58.7,30.5,Sandy,Organic
Tomato,121,10,23,25.0,48.7,74.6,Black,Organic
Cotton,37,14,73,17.9,63.6,37.2,Sandy,MOP
Wheat,91,71,55,30.9,63.7,56.1,Loamy,DAP
Cotton,77,16,20,21.9,76.2,20.5,Clay,MOP
Maize,140,45,69,31.8,31.5,83.1,Red,NPK
Tomato,139,23,58,33.8,36.5,46.8,Sandy,Organic
Wheat,58,60,40,16.5,51.7,81.6,Black,DAP
Cotton,124,71,61,31.5,72.3,80.3,Black,MOP
Wheat,129,37,38,31.3,67.5,30.0,Clay,DAP
Sugarcane,28,80,46,15.5,66.8,83.4,Clay,Compost
Wheat,140,74,58,19.0,48.0,66.5,Clay,DAP
Millet,76,62,52,33.6,50.6,55.3,Clay,MOP
Sugarcane,58,67,71,34.6,50.3,25.2,Clay,Compost
Wheat,130,42,31,31.8,72.5,32.4,Sandy,DAP
Maize,27,19,52,17.7,40.4,78.5,Loamy,NPK
