Category,Crop,Disease,Question,Answer,Keywords
Pest,ginger,bacterial wilt,Which machines or implements are useful for ginger to save labor and time?,"In ginger, pests like rhizome scale, thrips, shoot borer cause yield loss. Use sticky traps for whiteflies/aphids. Apply recommended insecticides at correct doses. Maintain field hygiene and remove weed hosts. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial wilt,farming,ginger,india,pest,red"
Irrigation,garlic,white rot,How do I manage white rot in garlic? What are the symptoms and spray schedule?,"For garlic, maintain soil moisture at 50–60% field capacity. Use drip or furrow irrigation to save 20–30% water. Avoid waterlogging; ensure drainage in heavy soils. Critical stages: sowing, flowering, and pod/fruit set. In summer, irrigate every 5–7 days; in winter, every 8–10 days.","agriculture,clay,farming,garlic,india,irrigation,white rot"
Weather,coriander,stem gall,What weather conditions harm coriander and how do I protect my crop?,"For coriander, high humidity favors fungal diseases. Increase plant spacing, avoid overhead irrigation, and use protective fungicides before monsoon peaks. Use weather-based advisories for spray timing. Keep records of inputs and yields each season to refine your plan.","agriculture,coriander,farming,india,sandy,stem gall,weather"
Soil,cumin,aphid damage,How do I implement IPM in cumin step by step?,"For cumin, avoid continuous monocropping. Rotate with legumes to improve N and soil health. Add 5–10 t/ha FYM and practice conservation tillage to enhance infiltration and reduce erosion. Keep records of inputs and yields each season to refine your plan.","agriculture,aphid damage,black,cumin,farming,india,soil"
Government Scheme,rice,sheath blight,Which machines or implements are useful for rice to save labor and time?,"In rice, state schemes may offer seed subsidies, drip irrigation support, and power concessions. Keep Aadhaar, land records, and bank details updated for scheme benefits. Use KCC for working capital and input purchases. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,government_scheme,india,laterite,rice,sheath blight"
Harvesting,wheat,alternaria leaf blight,What is the best fertilizer dose and schedule for wheat in clay soil?,"Harvest wheat at physiological maturity: grains at 20–22% moisture, pods when 80–90% brown. Avoid delayed harvest to reduce shattering and field losses. Use combine harvesters where feasible; dry grains to 12–14% before storage. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria leaf blight,clay,farming,harvesting,india,wheat"
Marketing,maize,fusarium stalk rot,Which government schemes can I use for maize cultivation and marketing?,"In maize, state schemes may offer seed subsidies, drip irrigation support, and power concessions. Keep Aadhaar, land records, and bank details updated for scheme benefits. Use KCC for working capital and input purchases. Keep records of inputs and yields each season to refine your plan.","agriculture,clay,farming,fusarium stalk rot,india,maize,marketing"
Organic Farming,cotton,boll rot,What are effective weed control methods for cotton that are safe and cheap?,"In cotton, adopt crop rotation with legumes, green manures (dhaincha, sunhemp), and mulching. Maintain field sanitation and use resistant varieties. Certification via NPOP/PGS-India adds market value. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,boll rot,cotton,farming,india,organic_farming"
Yield Improvement,sugarcane,leaf scald,What GAP should I follow for sugarcane to meet market and export standards?,"In sugarcane, yield gaps arise from poor plant stand, nutrient imbalance, and pest damage. Use soil test-based fertilizers, IPM, and timely irrigation. Record field operations for continuous improvement. Keep records of inputs and yields each season to refine your plan.","agriculture,black,farming,india,leaf scald,sugarcane,yield_improvement"
Seed Selection,soybean,sudden death syndrome,What weather conditions harm soybean and how do I protect my crop?,"In soybean, procure seeds from certified agencies. Check germination before sowing; aim for >85%. Avoid storage in humid conditions. Keep records of inputs and yields each season to refine your plan.","agriculture,clay,farming,india,seed_selection,soybean,sudden death syndrome"
Storage,tomato,early blight,How do I set up protected cultivation or greenhouse for tomato?,"In tomato, high moisture leads to mold and mycotoxins. Dry to safe levels, use moisture-proof liners, and keep bags off the floor on pallets. Inspect regularly for pests and dampness. Keep records of inputs and yields each season to refine your plan.","agriculture,clay,early blight,farming,india,storage,tomato"
Post-Harvest,potato,scab,When and how should I harvest potato to get maximum yield and quality?,"For potato, ensure produce is dry and clean before storage. Avoid mixing old and new stock. Use neem leaves or botanicals in small stores. Monitor temperature and humidity; aerate if needed. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,loamy,post-harvest,potato,scab"
Mechanization,onion,neck rot,What weather conditions harm onion and how do I protect my crop?,"For onion, post-harvest mechanization (threshers, graders, dryers) improves quality and reduces losses. Clean and maintain equipment after each season. Keep records of inputs and yields each season to refine your plan.","agriculture,clay,farming,india,mechanization,neck rot,onion"
Intercropping,chilli,dieback,What water conservation practices work best for chilli in my area?,"In chilli, intercropping breaks pest cycles and improves biodiversity. Select crops with different canopy heights and root depths. Monitor for pest shifts and adjust management. Keep records of inputs and yields each season to refine your plan.","agriculture,black,chilli,dieback,farming,india,intercropping"
Crop Rotation,brinjal,alternaria leaf spot,"What soil type and pH are ideal for brinjal, and how do I improve my soil?","In brinjal, rotation reduces soil-borne diseases and weeds. Select crops with different nutrient demands. Maintain field records to plan rotations effectively. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria leaf spot,black,brinjal,crop_rotation,farming,india"
Water Conservation,cabbage,alternaria leaf spot,How do I manage alternaria leaf spot in cabbage? What are the symptoms and spray schedule?,"For cabbage, use alternate wetting and drying (AWD) where feasible. Recycle field drainage and harvest rainwater in ponds. Maintain field bunds and channels. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria leaf spot,cabbage,farming,india,red,water_conservation"
Micronutrients,cauliflower,powdery mildew,Which irrigation method saves the most water for cauliflower without reducing yield?,Fe deficiency in cauliflower shows as interveinal chlorosis in young leaves. Apply Fe-EDDHA foliar (0.5%) or chelated Fe with irrigation. Improve drainage and avoid high pH soils. Keep records of inputs and yields each season to refine your plan.,"agriculture,black,cauliflower,farming,india,micronutrients,powdery mildew"
NPK Management,okra,yellow vein mosaic,What are good intercropping options with okra to increase income?,"In okra, excessive N without K increases lodging and disease. Maintain K at 50–60 kg/ha for stalk strength. Use 19:19:19 foliar at flowering for fruit set. Add FYM 5–10 t/ha for long-term soil health. Keep records of inputs and yields each season to refine your plan.","agriculture,clay,farming,india,npk_management,okra,yellow vein mosaic"
IPM,groundnut,rust,How do I select and treat seeds for groundnut to improve germination?,"For groundnut, integrate pheromone traps (10–12/ha), NSKE 5%, and targeted insecticides. Avoid prophylactic sprays. Train labor on safe handling and PPE use. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,groundnut,india,ipm,rust,sandy"
Weed Management,mustard,white rust,Which machines or implements are useful for mustard to save labor and time?,"In mustard, avoid waterlogging which favors weeds. Use narrow row spacing and early canopy closure to suppress weeds. Scout fields regularly and remove weeds before seed set. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,farming,india,mustard,weed_management,white rust"
Protected Cultivation,sunflower,head rot,What are good intercropping options with sunflower to increase income?,"For sunflower, greenhouses enable year-round production. Use insect-proof nets, drip irrigation, and balanced fertigation. Train labor on climate management and IPM. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,head rot,india,protected_cultivation,red,sunflower"
Greenhouse,bajra,rust,What carbon farming practices can I adopt in bajra fields?,"In bajra, hydroponics saves water and nutrients. Maintain EC and pH in recommended ranges. Use sterile media and prevent root diseases with sanitation. Keep records of inputs and yields each season to refine your plan.","agriculture,bajra,farming,greenhouse,india,laterite,rust"
Hydroponics,jowar,leaf blight,How can I increase yield in jowar with better agronomy and protection?,"Protected cultivation (shade nets, low tunnels) in jowar reduces pest and weather damage. Use drip fertigation and mulch. Monitor temperature and humidity to prevent diseases. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,hydroponics,india,jowar,leaf blight,loamy"
Carbon Farming,ragi,helminthosporium leaf spot,Which irrigation method saves the most water for ragi without reducing yield?,"In ragi, reduced tillage and mulching improve SOC and water retention. Avoid burning residues; incorporate or use for mulch. Align with national carbon initiatives. Keep records of inputs and yields each season to refine your plan.","agriculture,carbon_farming,farming,helminthosporium leaf spot,india,ragi,red"
Regenerative Agriculture,gram,wilt,What are good intercropping options with gram to increase income?,"For gram, integrate trees, shrubs, and perennials to enhance resilience. Use organic amendments and biological pest control. Build local knowledge and community practices. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,gram,india,loamy,regenerative_agriculture,wilt"
GAP,pigeon pea,pod borer damage,What is the best fertilizer dose and schedule for pigeon pea in red soil?,"Good Agricultural Practices (GAP) in pigeon pea include record-keeping, safe pesticide use, and traceability. Follow pre-harvest intervals and maintain field hygiene. Adopt GAP for market access and premiums. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,gap,india,pigeon pea,pod borer damage,red"
Insurance,green gram,powdery mildew,Which irrigation method saves the most water for green gram without reducing yield?,"Crop insurance (PMFBY) for green gram covers yield losses due to weather, pests, and diseases. Enroll before sowing through banks or CSC. Cooperate during crop cutting experiments for claim settlement. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,green gram,india,insurance,powdery mildew,red"
Fertilizer,black gram,anthracnose,Which machines or implements are useful for black gram to save labor and time?,"Use 60–100 kg N/ha for black gram depending on rainfall and soil. Apply basal NPK (12:32:16 or 15:15:15) at 150–200 kg/ha at sowing, then top-dress urea in 2–3 splits. Include 20–25 kg/ha ZnSO4 where soils are alkaline. For irrigated conditions, split N at vegetative, flowering, and pod/fruit setting. In rainfed areas, use slow-release N and mulch to reduce losses.","agriculture,anthracnose,black,black gram,farming,fertilizer,india"
Disease,banana,anthracnose,How do I select and treat seeds for banana to improve germination?,"Control anthracnose in banana with integrated measures: resistant varieties, seed treatment (thiram/carbendazim 2 g/kg), and timely sprays. Avoid excessive nitrogen which increases susceptibility. Use biocontrol (Trichoderma 4–5 g/kg seed) for soil-borne diseases. Keep records of inputs and yields each season to refine your plan.","agriculture,anthracnose,banana,disease,farming,india,sandy"
Pest,mango,dieback,What GAP should I follow for mango to meet market and export standards?,"For mango, integrate mechanical (handpicking), biological (Trichogramma), and chemical controls. Avoid tank mixes that harm beneficials. Follow label doses and pre-harvest intervals. Keep records of inputs and yields each season to refine your plan.","agriculture,dieback,farming,india,mango,pest,red"
Irrigation,papaya,bacterial leaf spot,How do I store papaya grains safely to avoid pests and mold?,"For papaya, maintain even moisture. Deficit at flowering reduces yield by 20–30%. Use alternate furrow irrigation or drip to improve water use efficiency. In water-scarce areas, adopt zero-till and mulching to conserve moisture. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial leaf spot,farming,india,irrigation,laterite,papaya"
Weather,grapes,black rot,"What soil type and pH are ideal for grapes, and how do I improve my soil?","In grapes, avoid sowing during heatwaves (>38°C). Use early-morning irrigation and mulch to reduce heat stress. For cold waves, ensure adequate soil moisture and avoid late nitrogen. Watch IMD advisories for rainfall and temperature. Keep records of inputs and yields each season to refine your plan.","agriculture,black rot,farming,grapes,india,red,weather"
Soil,pomegranate,fruit rot,What are effective weed control methods for pomegranate that are safe and cheap?,"For pomegranate, avoid continuous monocropping. Rotate with legumes to improve N and soil health. Add 5–10 t/ha FYM and practice conservation tillage to enhance infiltration and reduce erosion. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,farming,fruit rot,india,pomegranate,soil"
Government Scheme,citrus,anthracnose,What GAP should I follow for citrus to meet market and export standards?,"Farmers growing citrus can benefit from PM-KISAN (₹6,000/year), Kisan Credit Card (subsidized interest), and Soil Health Card (free soil testing). Check with your local agriculture office or CSC for enrollment. Crop insurance under PMFBY is also available. Keep records of inputs and yields each season to refine your plan.","agriculture,anthracnose,citrus,clay,farming,government_scheme,india"
Harvesting,turmeric,rhizome rot,How do I implement IPM in turmeric step by step?,"In turmeric, early harvest reduces field losses and aflatoxin risk. Dry on clean tarps; avoid direct soil contact. Use moisture meters to ensure safe storage levels. Store in fumigated, rodent-proof structures. Keep records of inputs and yields each season to refine your plan.","agriculture,black,farming,harvesting,india,rhizome rot,turmeric"
Marketing,ginger,soft rot,When and how should I harvest ginger to get maximum yield and quality?,"For ginger, MSP announcements and procurement vary by state. Register on e-NAM for better market access. FPO membership can improve bargaining power. Explore agri-infrastructure funds for storage and processing. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,ginger,india,marketing,red,soft rot"
Organic Farming,garlic,stemphylium blight,"How can I control thrips, onion maggot, aphids in garlic using IPM and reduce chemical sprays?","In garlic, organic systems need strong IPM: traps, biocontrol agents, and botanicals. Ensure adequate K and micronutrients from organic sources. Plan harvest and post-harvest to maintain organic integrity. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,garlic,india,laterite,organic_farming,stemphylium blight"
Yield Improvement,coriander,stem gall,How can I increase yield in coriander with better agronomy and protection?,"For coriander, target 10–15% higher yield by adopting improved varieties, micro-irrigation, and INM. Ensure timely sowing, proper spacing, and timely weeding. Use foliar nutrients at critical stages. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,coriander,farming,india,stem gall,yield_improvement"
Seed Selection,cumin,alternaria blight,What are good intercropping options with cumin to increase income?,"Use certified seeds of cumin for uniform germination and higher yield. Treat seeds with thiram/carbendazim (2 g/kg) or bio-agents (Trichoderma 4–5 g/kg). Store seeds in cool, dry place in moisture-proof bags. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria blight,cumin,farming,india,laterite,seed_selection"
Storage,rice,blast,What are good intercropping options with rice to increase income?,"Store rice grains at 12–14% moisture in clean, dry, rodent-proof structures. Treat storage area with malathion dust. Use hermetic bags or PICS bags for pulses. Fumigate with aluminum phosphide if needed, following safety protocols. Keep records of inputs and yields each season to refine your plan.","agriculture,blast,farming,india,rice,sandy,storage"
Post-Harvest,wheat,rust,How do I store wheat grains safely to avoid pests and mold?,"For wheat, ensure produce is dry and clean before storage. Avoid mixing old and new stock. Use neem leaves or botanicals in small stores. Monitor temperature and humidity; aerate if needed. Keep records of inputs and yields each season to refine your plan.","agriculture,clay,farming,india,post-harvest,rust,wheat"
Mechanization,maize,downy mildew,How do I select and treat seeds for maize to improve germination?,"In maize, use power tillers or tractors with appropriate implements. Adopt zero-till where feasible to save time and fuel. Train operators on safe handling and maintenance. Keep records of inputs and yields each season to refine your plan.","agriculture,downy mildew,farming,india,laterite,maize,mechanization"
Intercropping,cotton,alternaria leaf spot,What weather conditions harm cotton and how do I protect my crop?,"For cotton, relay cropping or sequential cropping maximizes land use. Maintain soil fertility with FYM and biofertilizers. Use crop-specific herbicides carefully. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria leaf spot,black,cotton,farming,india,intercropping"
Crop Rotation,sugarcane,red rot,Which government schemes can I use for sugarcane cultivation and marketing?,"For sugarcane, integrate livestock or agroforestry in rotations for diversification. Use manure and compost to recycle nutrients. Monitor soil tests to adjust rotations. Keep records of inputs and yields each season to refine your plan.","agriculture,crop_rotation,farming,india,laterite,red rot,sugarcane"
Water Conservation,soybean,frogeye leaf spot,How do I move towards regenerative agriculture in soybean?,"In soybean, avoid over-irrigation which leaches nutrients and promotes diseases. Use tensiometers or soil moisture sensors for precise scheduling. Maintain drainage to prevent waterlogging. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,frogeye leaf spot,india,laterite,soybean,water_conservation"
Micronutrients,tomato,leaf curl virus,When and how should I harvest tomato to get maximum yield and quality?,"S deficiency in tomato leads to pale young leaves. Use SSP or gypsum to supply S (20–40 kg/ha). In high-rainfall areas, split S applications to reduce leaching. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,leaf curl virus,micronutrients,red,tomato"
NPK Management,potato,early blight,How should I plan crop rotation with potato to improve soil health?,"For potato, integrated nutrient management combines FYM, biofertilizers, and mineral fertilizers. Target OC >0.8%, balanced NPK, and micronutrients based on soil tests. Avoid blanket recommendations. Keep records of inputs and yields each season to refine your plan.","agriculture,black,early blight,farming,india,npk_management,potato"
IPM,onion,purple blotch,"What are the signs of Zn, B, or S deficiency in onion and how do I correct them?","For onion, IPM starts with monitoring: pheromone traps, field scouting, and ETL-based sprays. Use biocontrol (Trichogramma, NPV) and botanicals (neem) early. Rotate insecticide groups to delay resistance. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,ipm,onion,purple blotch,sandy"
Weed Management,chilli,anthracnose,How do I select and treat seeds for chilli to improve germination?,"In chilli, avoid waterlogging which favors weeds. Use narrow row spacing and early canopy closure to suppress weeds. Scout fields regularly and remove weeds before seed set. Keep records of inputs and yields each season to refine your plan.","agriculture,anthracnose,chilli,farming,india,loamy,weed_management"
Protected Cultivation,brinjal,mosaic,How do I manage mosaic in brinjal? What are the symptoms and spray schedule?,"In brinjal, protected cultivation reduces pesticide use. Combine with biological controls and hygiene. Plan crop cycles to match market demand. Keep records of inputs and yields each season to refine your plan.","agriculture,brinjal,farming,india,mosaic,protected_cultivation,red"
Greenhouse,cabbage,black rot,What weather conditions harm cabbage and how do I protect my crop?,"Protected cultivation (shade nets, low tunnels) in cabbage reduces pest and weather damage. Use drip fertigation and mulch. Monitor temperature and humidity to prevent diseases. Keep records of inputs and yields each season to refine your plan.","agriculture,black rot,cabbage,clay,farming,greenhouse,india"
Hydroponics,cauliflower,powdery mildew,What carbon farming practices can I adopt in cauliflower fields?,"For cauliflower, greenhouses enable year-round production. Use insect-proof nets, drip irrigation, and balanced fertigation. Train labor on climate management and IPM. Keep records of inputs and yields each season to refine your plan.","agriculture,black,cauliflower,farming,hydroponics,india,powdery mildew"
