Crop,State,Soil_Type,Rainfall_mm,Temperature_C,Area_Hectare,Yield_ton_per_hectare,Production_ton,Estimated_Revenue_INR
Tomato,UP,Loamy,1294.5,17.1,43.43,30.38,1319.4,15832800.0
Potato,Punjab,Black,690.2,23.2,46.02,23.59,1085.61,16284150.0
Soybean,Gujarat,Alluvial,1428.0,35.8,25.97,1.97,51.16,2302200.0
Wheat,Gujarat,Black,1423.5,16.3,95.24,3.6,342.86,7200060.0
Cotton,Maharashtra,Black,1431.3,38.7,20.74,2.3,47.7,3100500.0
Rice,UP,Red,657.8,26.8,12.32,4.88,60.12,1322640.0
Cotton,Gujarat,Alluvial,1450.3,19.2,61.12,2.35,143.63,9335950.0
Wheat,Punjab,Alluvial,462.1,15.6,31.88,3.41,108.71,2282910.0
Tomato,Gujarat,Red,414.0,32.3,63.1,31.22,1969.98,23639760.0
Wheat,Karnataka,Loamy,1508.3,34.9,57.03,3.8,216.71,4550910.0
Rice,Karnataka,Loamy,942.6,24.3,51.09,4.83,246.76,5428720.0
Soybean,Maharashtra,Laterite,1533.5,17.6,96.12,1.93,185.51,8347950.0
Potato,Punjab,Laterite,564.2,28.0,65.4,24.61,1609.49,24142350.0
Millet,UP,Laterite,997.3,35.6,59.65,2.23,133.02,3724560.0
Soybean,Punjab,Black,718.4,26.3,75.3,2.03,152.86,6878700.0
Millet,UP,Laterite,804.6,27.4,33.18,2.37,78.64,2201920.0
Potato,Punjab,Alluvial,1496.7,23.5,88.15,24.54,2163.2,32448000.0
Sugarcane,UP,Black,1074.9,19.8,24.89,72.48,1804.03,6314105.0
Tomato,Gujarat,Loamy,1437.2,32.3,64.94,32.69,2122.89,25474680.0
Potato,Gujarat,Black,439.6,20.5,69.49,22.67,1575.34,23630100.0
Sugarcane,UP,Alluvial,1009.9,28.3,43.12,78.18,3371.12,11798920.0
Onion,Karnataka,Alluvial,1354.3,21.8,25.89,19.98,517.28,9311040.0
Wheat,Punjab,Alluvial,479.3,28.4,76.46,3.87,295.9,6213900.0
Maize,Punjab,Red,1407.9,21.9,59.37,5.51,327.13,5888340.0
Onion,UP,Alluvial,1770.8,35.8,30.33,20.03,607.51,10935180.0
Soybean,Punjab,Alluvial,321.2,28.4,28.16,2.02,56.88,2559600.0
Rice,UP,Alluvial,1346.1,18.2,86.98,4.62,401.85,8840700.0
Potato,Maharashtra,Black,1161.1,26.7,44.61,24.94,1112.57,16688550.0
Maize,Maharashtra,Alluvial,1711.6,26.9,82.39,5.86,482.81,8690580.0
Tomato,Gujarat,Black,1165.5,32.2,16.02,32.33,517.93,6215160.0
Millet,Karnataka,Black,1790.9,18.0,76.68,2.26,173.3,4852400.0
Millet,UP,Loamy,638.5,28.1,45.6,2.36,107.62,3013360.0
Potato,Karnataka,Loamy,1785.0,22.6,62.48,24.63,1538.88,23083200.0
Millet,Maharashtra,Red,1238.3,21.6,9.04,2.28,20.61,577080.0
Cotton,Punjab,Loamy,412.6,15.1,45.6,2.13,97.13,6313450.0
Millet,Gujarat,Alluvial,349.0,22.2,28.99,2.2,63.78,1785840.0
Potato,Maharashtra,Red,1685.9,34.7,62.88,24.21,1522.32,22834800.0
Cotton,Gujarat,Black,1116.8,31.2,90.93,2.44,221.87,14421550.0
Maize,Maharashtra,Black,548.9,22.7,75.15,5.34,401.3,7223400.0
Millet,Karnataka,Laterite,486.5,32.2,70.27,2.25,158.11,4427080.0
Sugarcane,UP,Loamy,1040.7,17.0,4.95,70.26,347.79,1217265.0
Tomato,Karnataka,Loamy,675.6,17.3,96.23,29.55,2843.6,34123200.0
Millet,UP,Black,1799.4,31.8,27.68,2.4,66.43,1860040.0
Rice,Punjab,Laterite,1078.4,26.1,28.54,4.94,140.99,3101780.0
Millet,Gujarat,Laterite,1753.6,26.8,41.43,2.45,101.5,2842000.0
Soybean,Maharashtra,Red,794.7,32.3,29.53,1.99,58.76,2644200.0
Tomato,UP,Black,982.2,22.9,33.0,31.78,1048.74,12584880.0
Tomato,UP,Black,1286.5,28.6,41.91,33.66,1410.69,16928280.0
Cotton,UP,Alluvial,1234.0,27.5,44.76,2.52,112.8,7332000.0
Rice,Punjab,Alluvial,1123.8,38.2,44.37,4.55,201.88,4441360.0
Potato,Maharashtra,Black,1759.7,30.2,24.69,25.37,626.39,9395850.0
Maize,Karnataka,Loamy,320.5,25.2,23.25,5.43,126.25,2272500.0
Wheat,Gujarat,Black,1271.6,18.8,93.33,3.67,342.52,7192920.0
Sugarcane,UP,Alluvial,923.2,27.1,47.75,77.44,3697.76,12942160.0
Potato,UP,Red,875.4,38.0,51.32,22.55,1157.27,17359050.0
Maize,Maharashtra,Alluvial,1459.0,36.4,34.65,5.4,187.11,3367980.0
Onion,Karnataka,Black,724.3,22.5,59.11,19.55,1155.6,20800800.0
Potato,Punjab,Laterite,1107.9,23.6,55.64,24.14,1343.15,20147250.0
Onion,Gujarat,Laterite,1699.3,36.7,98.1,19.79,1941.4,34945200.0
Cotton,UP,Laterite,650.3,34.4,5.32,2.32,12.34,802100.0
Potato,Gujarat,Laterite,1782.6,34.8,65.55,24.29,1592.21,23883150.0
Maize,Gujarat,Black,489.4,39.1,33.87,5.01,169.69,3054420.0
Wheat,Gujarat,Black,1088.9,26.4,72.52,3.93,285.0,5985000.0
Tomato,Punjab,Black,1004.2,39.2,34.52,29.86,1030.77,12369240.0
Tomato,Maharashtra,Alluvial,1578.5,36.5,38.62,31.55,1218.46,14621520.0
Soybean,Gujarat,Loamy,353.8,16.7,63.48,1.81,114.9,5170500.0
Sugarcane,Punjab,Black,951.0,17.5,63.74,70.33,4482.83,15689905.0
Wheat,Gujarat,Red,1341.0,37.6,5.55,3.66,20.31,426510.0
Rice,Karnataka,Alluvial,862.3,18.6,53.59,4.54,243.3,5352600.0
Millet,Punjab,Red,562.6,30.2,38.87,2.31,89.79,2514120.0
Cotton,Gujarat,Loamy,514.7,26.5,26.14,2.42,63.26,4111900.0
Sugarcane,Maharashtra,Laterite,1651.8,31.9,16.64,77.65,1292.1,4522350.0
Potato,Karnataka,Loamy,748.7,39.1,69.34,22.14,1535.19,23027850.0
Potato,Karnataka,Red,1799.1,36.3,11.56,23.95,276.86,4152900.0
Tomato,UP,Alluvial,1162.2,39.8,30.23,29.9,903.88,10846560.0
Tomato,Karnataka,Black,1148.9,32.1,74.72,32.34,2416.44,28997280.0
Rice,UP,Laterite,1549.3,37.6,77.8,4.67,363.33,7993260.0
Cotton,UP,Alluvial,628.5,19.8,25.81,2.27,58.59,3808350.0
Maize,Maharashtra,Black,763.4,26.0,58.38,5.58,325.76,5863680.0
Maize,Maharashtra,Alluvial,790.1,25.4,20.88,5.55,115.88,2085840.0
Onion,Karnataka,Loamy,1052.7,21.8,17.29,19.71,340.79,6134220.0
Potato,Karnataka,Alluvial,1506.3,26.7,8.45,25.31,213.87,3208050.0
Cotton,Gujarat,Loamy,848.7,34.8,2.38,2.33,5.55,360750.0
Onion,Maharashtra,Laterite,852.9,33.7,26.95,19.63,529.03,9522540.0
Tomato,Karnataka,Black,1312.3,26.8,62.34,33.51,2089.01,25068120.0
Onion,Karnataka,Loamy,632.1,16.6,82.56,18.29,1510.02,27180360.0
Sugarcane,Gujarat,Black,509.7,38.7,31.13,68.7,2138.63,7485205.0
Potato,Maharashtra,Black,652.2,28.4,39.48,24.61,971.6,14574000.0
Soybean,UP,Laterite,1181.0,33.2,88.66,2.0,177.32,7979400.0
Wheat,Gujarat,Loamy,912.2,38.8,4.24,3.55,15.05,316050.0
Soybean,Punjab,Laterite,967.0,20.9,36.91,1.95,71.97,3238650.0
Soybean,UP,Alluvial,390.8,21.9,96.85,1.91,184.98,8324100.0
Potato,Maharashtra,Red,1262.6,29.9,3.11,24.91,77.47,1162050.0
Soybean,Punjab,Red,1480.5,20.1,83.15,1.98,164.64,7408800.0
Onion,Punjab,Loamy,623.9,36.7,33.53,18.82,631.03,11358540.0
Maize,UP,Black,715.9,39.6,98.77,5.04,497.8,8960400.0
Onion,Karnataka,Red,464.9,36.7,14.05,18.68,262.45,4724100.0
Soybean,Punjab,Loamy,785.7,19.4,6.19,1.9,11.76,529200.0
Tomato,UP,Black,1418.5,26.9,78.02,33.69,2628.49,31541880.0
Onion,UP,Black,978.0,20.5,61.9,19.38,1199.62,21593160.0
Onion,Karnataka,Laterite,1265.0,15.8,99.86,18.7,1867.38,33612840.0
Tomato,Gujarat,Black,1035.4,37.7,8.28,30.39,251.63,3019560.0
Wheat,Karnataka,Loamy,522.5,18.2,62.81,3.52,221.09,4642890.0
Millet,UP,Alluvial,871.4,29.9,30.19,2.35,70.95,1986600.0
Onion,UP,Laterite,448.8,32.5,85.43,19.5,1665.89,29986020.0
Onion,Punjab,Laterite,977.3,20.7,34.55,19.42,670.96,12077280.0
Potato,Gujarat,Laterite,1394.4,22.8,31.94,24.26,774.86,11622900.0
Sugarcane,Karnataka,Red,1330.2,26.9,10.03,78.66,788.96,2761360.0
Wheat,Maharashtra,Laterite,444.8,33.5,81.37,3.67,298.63,6271230.0
Onion,Maharashtra,Loamy,1734.9,29.0,67.33,21.36,1438.17,25887060.0
Tomato,Karnataka,Laterite,1602.1,33.0,96.87,32.71,3168.62,38023440.0
Millet,Karnataka,Alluvial,455.4,27.7,16.32,2.34,38.19,1069320.0
Potato,Punjab,Black,825.2,28.9,12.37,24.68,305.29,4579350.0
Sugarcane,UP,Red,1510.8,36.1,97.48,74.02,7215.47,25254145.0
Millet,UP,Loamy,339.4,38.2,83.12,2.1,174.55,4887400.0
Sugarcane,Maharashtra,Red,709.9,34.1,92.23,72.82,6716.19,23506665.0
Soybean,Maharashtra,Red,1604.8,29.2,40.68,2.12,86.24,3880800.0
Maize,Maharashtra,Black,1419.2,20.4,42.56,5.43,231.1,4159800.0
Soybean,Punjab,Alluvial,767.5,23.1,94.2,1.97,185.57,8350650.0
Millet,Maharashtra,Black,533.4,33.9,5.93,2.22,13.16,368480.0
Wheat,Karnataka,Laterite,1292.9,27.1,44.76,3.99,178.59,3750390.0
Sugarcane,Punjab,Loamy,470.7,25.7,29.04,74.86,2173.93,7608755.0
Millet,Gujarat,Loamy,1300.7,16.1,40.13,2.16,86.68,2427040.0
Millet,Maharashtra,Black,606.6,38.6,76.97,2.12,163.18,4569040.0
Sugarcane,Karnataka,Alluvial,480.0,27.4,43.63,76.17,3323.3,11631550.0
Maize,Gujarat,Loamy,1355.5,27.5,83.5,5.81,485.13,8732340.0
Soybean,Maharashtra,Laterite,1592.6,16.1,2.86,1.91,5.46,245700.0
Wheat,Karnataka,Loamy,943.9,25.1,64.37,3.85,247.82,5204220.0
Sugarcane,Maharashtra,Laterite,331.3,23.1,80.33,72.44,5819.11,20366885.0
Millet,Gujarat,Alluvial,432.2,36.1,25.09,2.16,54.19,1517320.0
Millet,Gujarat,Loamy,418.0,36.8,74.83,2.14,160.14,4483920.0
Cotton,Karnataka,Red,414.6,30.8,53.53,2.38,127.4,8281000.0
Cotton,Karnataka,Alluvial,1391.1,35.5,81.69,2.37,193.61,12584650.0
Cotton,Maharashtra,Red,684.0,19.3,16.13,2.27,36.62,2380300.0
Wheat,Punjab,Laterite,995.9,29.1,58.37,3.93,229.39,4817190.0
Millet,UP,Alluvial,1596.4,30.7,15.94,2.4,38.26,1071280.0
Wheat,Gujarat,Laterite,1247.1,34.9,59.55,3.75,223.31,4689510.0
Soybean,UP,Black,765.6,26.3,6.63,2.03,13.46,605700.0
Sugarcane,Maharashtra,Black,1222.5,27.7,46.81,78.9,3693.31,12926585.0
Onion,Maharashtra,Laterite,1663.6,29.3,19.64,21.24,417.15,7508700.0
Millet,Gujarat,Loamy,526.3,16.5,11.25,2.09,23.51,658280.0
Soybean,Maharashtra,Loamy,1269.2,16.0,71.05,1.87,132.86,5978700.0
Potato,UP,Loamy,1214.7,24.1,91.88,24.38,2240.03,33600450.0
Tomato,Gujarat,Alluvial,1318.3,16.3,63.46,30.15,1913.32,22959840.0
Soybean,Maharashtra,Alluvial,441.8,32.0,29.13,1.96,57.09,2569050.0
Millet,Punjab,Alluvial,422.3,31.6,91.76,2.26,207.38,5806640.0
Sugarcane,Gujarat,Red,1192.6,38.5,31.65,71.15,2251.9,7881650.0
Tomato,Karnataka,Red,1305.2,35.7,74.14,31.42,2329.48,27953760.0
Onion,Maharashtra,Laterite,1062.7,15.5,31.58,18.46,582.97,10493460.0
Cotton,Karnataka,Laterite,588.0,40.0,16.34,2.18,35.62,2315300.0
Sugarcane,Maharashtra,Loamy,1456.3,35.9,88.48,73.99,6546.64,22913240.0
Rice,Karnataka,Loamy,496.6,24.4,17.06,4.73,80.69,1775180.0
Millet,Punjab,Laterite,365.5,24.1,72.24,2.25,162.54,4551120.0
Potato,UP,Alluvial,1428.6,34.6,24.17,23.96,579.11,8686650.0
Cotton,Karnataka,Laterite,1656.0,19.9,68.15,2.38,162.2,10543000.0
Millet,Gujarat,Laterite,1454.2,34.5,50.79,2.3,116.82,3270960.0
Tomato,Punjab,Red,1501.9,18.5,25.75,31.12,801.34,9616080.0
Potato,Karnataka,Loamy,1701.4,32.8,52.08,24.69,1285.86,19287900.0
Wheat,Karnataka,Black,1444.7,21.8,90.63,3.81,345.3,7251300.0
Maize,Gujarat,Black,1719.6,20.6,45.66,5.52,252.04,4536720.0
Soybean,Maharashtra,Laterite,379.9,27.6,24.34,2.03,49.41,2223450.0
Wheat,Karnataka,Red,342.3,38.3,84.08,3.47,291.76,6126960.0
Soybean,Punjab,Red,357.5,37.9,47.77,1.83,87.42,3933900.0
Maize,Gujarat,Laterite,1223.0,37.6,2.88,5.27,15.18,273240.0
Cotton,Punjab,Loamy,1710.3,30.2,42.9,2.53,108.54,7055100.0
Sugarcane,Punjab,Alluvial,482.8,21.0,64.26,71.38,4586.88,16054080.0
Millet,Gujarat,Black,466.3,37.6,60.08,2.13,127.97,3583160.0
Rice,UP,Loamy,662.9,18.6,43.49,4.49,195.27,4295940.0
Millet,Karnataka,Red,1156.0,19.7,67.15,2.23,149.74,4192720.0
Onion,Karnataka,Black,1730.1,28.6,78.85,21.44,1690.54,30429720.0
Onion,UP,Black,885.7,26.8,63.93,20.56,1314.4,23659200.0
Soybean,Karnataka,Black,835.6,16.7,24.87,1.85,46.01,2070450.0
Wheat,UP,Alluvial,500.1,23.8,34.52,3.73,128.76,2703960.0
Maize,Gujarat,Laterite,1247.6,35.3,7.25,5.41,39.22,705960.0
Potato,Maharashtra,Alluvial,602.4,34.8,88.69,23.02,2041.64,30624600.0
Soybean,Karnataka,Loamy,897.3,35.4,47.87,1.93,92.39,4157550.0
Rice,Punjab,Alluvial,835.5,34.5,86.71,4.67,404.94,8908680.0
Soybean,Karnataka,Black,1499.0,25.9,40.6,2.09,84.85,3818250.0
Potato,Gujarat,Alluvial,1760.6,27.4,50.25,25.76,1294.44,19416600.0
Onion,Karnataka,Black,1390.6,17.0,60.64,19.05,1155.19,20793420.0
Maize,UP,Alluvial,781.8,17.0,66.43,5.09,338.13,6086340.0
Sugarcane,Gujarat,Loamy,1376.5,19.2,44.95,73.05,3283.6,11492600.0
Potato,Maharashtra,Alluvial,1222.3,25.9,64.31,24.82,1596.17,23942550.0
Rice,Maharashtra,Laterite,845.0,35.0,68.26,4.65,317.41,6983020.0
Rice,Punjab,Loamy,1317.1,26.0,13.5,4.99,67.37,1482140.0
Cotton,Karnataka,Alluvial,874.3,29.2,60.9,2.47,150.42,9777300.0
Potato,Karnataka,Alluvial,965.9,16.9,14.63,22.38,327.42,4911300.0
Soybean,Gujarat,Alluvial,1274.3,21.2,12.23,1.98,24.22,1089900.0
Maize,Gujarat,Loamy,880.5,29.0,26.92,5.66,152.37,2742660.0
Sugarcane,Gujarat,Red,1794.5,22.1,91.73,76.63,7029.27,24602445.0
Potato,Punjab,Black,503.6,16.9,18.09,21.88,395.81,5937150.0
Potato,Maharashtra,Alluvial,1301.8,32.7,55.45,24.28,1346.33,20194950.0
Sugarcane,Karnataka,Red,1367.7,38.2,64.13,71.97,4615.44,16154040.0
Soybean,UP,Red,482.0,20.0,14.75,1.88,27.73,1247850.0
Potato,Maharashtra,Alluvial,1131.0,24.2,80.56,24.31,1958.41,29376150.0
Onion,Punjab,Loamy,1626.4,16.6,40.42,19.18,775.26,13954680.0
Potato,UP,Laterite,1453.7,35.6,8.3,23.75,197.13,2956950.0
Soybean,Maharashtra,Laterite,998.7,27.9,13.71,2.09,28.65,1289250.0
Onion,UP,Red,1451.7,18.2,50.78,19.35,982.59,17686620.0
Rice,Maharashtra,Loamy,529.5,19.1,32.94,4.49,147.9,3253800.0
Cotton,Karnataka,Loamy,1642.4,36.1,25.81,2.38,61.43,3992950.0
Onion,Karnataka,Red,1237.5,30.4,10.25,20.63,211.46,3806280.0
Maize,UP,Loamy,531.3,31.5,72.34,5.44,393.53,7083540.0
Millet,Karnataka,Loamy,361.8,36.6,9.04,2.14,19.35,541800.0
Millet,Karnataka,Red,1450.4,25.4,64.26,2.39,153.58,4300240.0
Potato,UP,Alluvial,1262.9,22.6,25.24,24.07,607.53,9112950.0
Tomato,Karnataka,Laterite,409.5,16.5,44.52,28.91,1287.07,15444840.0
Potato,Gujarat,Red,810.3,18.6,86.29,22.62,1951.88,29278200.0
Soybean,Karnataka,Laterite,496.1,24.3,56.6,1.97,111.5,5017500.0
Soybean,Punjab,Laterite,483.8,26.2,14.95,2.01,30.05,1352250.0
Rice,Karnataka,Laterite,1596.2,25.5,96.31,5.02,483.48,10636560.0
Maize,Karnataka,Loamy,1381.7,19.7,16.77,5.39,90.39,1627020.0
Onion,Gujarat,Laterite,1618.6,27.4,9.91,21.34,211.48,3806640.0
Tomato,UP,Laterite,1750.0,20.4,35.94,32.09,1153.31,13839720.0
Rice,Karnataka,Laterite,1196.3,36.1,67.58,4.67,315.6,6943200.0
Sugarcane,UP,Black,1570.8,25.8,88.36,78.65,6949.51,24323285.0
Soybean,Gujarat,Alluvial,367.9,16.3,56.62,1.8,101.92,4586400.0
Soybean,UP,Alluvial,410.3,27.6,76.68,2.03,155.66,7004700.0
Sugarcane,UP,Loamy,478.2,39.4,40.0,68.06,2722.4,9528400.0
Soybean,UP,Alluvial,1432.4,20.0,51.4,1.97,101.26,4556700.0
Onion,Maharashtra,Black,358.4,32.8,80.59,19.36,1560.22,28083960.0
Onion,Gujarat,Red,1209.4,27.9,33.47,21.07,705.21,12693780.0
Millet,Karnataka,Red,889.4,30.4,84.42,2.34,197.54,5531120.0
Millet,Karnataka,Loamy,1542.4,28.3,71.17,2.45,174.37,4882360.0
Sugarcane,Gujarat,Black,852.5,31.8,98.01,75.03,7353.69,25737915.0
Millet,Karnataka,Black,1195.4,21.6,65.9,2.28,150.25,4207000.0
Millet,UP,Red,1382.1,29.6,17.88,2.41,43.09,1206520.0
Millet,Gujarat,Red,1532.5,21.1,57.68,2.3,132.66,3714480.0
Wheat,Punjab,Black,961.6,25.5,41.88,3.87,162.08,3403680.0
Cotton,Gujarat,Loamy,1462.5,38.0,87.41,2.32,202.79,13181350.0
Rice,Punjab,Loamy,611.0,23.1,66.56,4.7,312.83,6882260.0
Onion,Gujarat,Alluvial,1735.0,26.5,53.78,21.26,1143.36,20580480.0
Onion,Karnataka,Alluvial,1215.1,19.8,25.41,19.45,494.22,8895960.0
Onion,Karnataka,Red,1712.2,39.6,77.35,19.22,1486.67,26760060.0
Cotton,Gujarat,Alluvial,1019.7,29.0,93.51,2.49,232.84,15134600.0
Sugarcane,Karnataka,Black,1160.2,28.6,89.68,78.47,7037.19,24630165.0
Tomato,Karnataka,Red,735.7,22.2,71.7,31.2,2237.04,26844480.0
Soybean,Gujarat,Alluvial,1421.0,20.3,82.97,1.97,163.45,7355250.0
Sugarcane,UP,Alluvial,505.9,30.4,59.1,74.91,4427.18,15495130.0
Cotton,Maharashtra,Loamy,638.5,20.8,10.92,2.3,25.12,1632800.0
Soybean,Gujarat,Black,1321.8,18.4,96.49,1.93,186.23,8380350.0
Maize,Gujarat,Laterite,1016.2,20.0,96.43,5.31,512.04,9216720.0
Soybean,Karnataka,Black,1661.9,17.2,57.84,1.93,111.63,5023350.0
Onion,Maharashtra,Red,926.8,35.9,93.46,19.25,1799.1,32383800.0
