State,District,Market,Crop,Variety,Arrival_Tonnes,Modal_Price,Min_Price,Max_Price,Price_Trend,Demand,Supply,Quality,MSP_Available,Export_Demand,Storage_Available,Season,Weather_Impact,Transport_Cost_Per_Tonne,Distance_From_Farm_KM,Market_Rating,Best_Time_To_Sell,Expected_Price_7_Days,Expected_Price_30_Days,Last_Updated
Chhattisgarh,Durg,Chennai,Pulses,Moong Dal,1859,7672,6654,9232,Stable,Medium,Low,Good,Yes,Medium,No,Perennial,Heavy Rain,1173,126,3.8,Next Week,7694,8049,2026-07-29
Maharashtra,Ahmednagar,Sangli,Rice,Swarna Rice,853,4653,4121,5787,Falling,Low,Low,Good,Yes,Medium,Yes,Zaid,Cold Wave,1420,326,3.2,Within 10 Days,4461,4098,2026-07-26
Maharashtra,Latur,Kota,Sugarcane,Co-86032 Sugarcane,5402,292,258,384,Rising,Low,Medium,Good,No,High,Yes,Zaid,Normal,4247,156,4.5,Next Week,311,320,2026-08-01
Gujarat,Junagadh,Coimbatore,Mango,Kesar Mango,1529,2705,2237,3412,Stable,Medium,High,Average,No,Medium,No,Zaid,Normal,1187,350,3.5,Today,2717,2824,2026-07-28
Chhattisgarh,Dhamtari,Nagpur,Maize,Vivek Hybrid,3774,866,670,1156,Falling,Low,Medium,Good,No,Low,Yes,Kharif,Flood,2223,280,3.3,Hold for 15 Days,815,818,2026-07-25
Madhya Pradesh,Ratlam,Patna,Sugarcane,Co-15018,1672,316,274,359,Falling,Medium,Low,Good,Yes,Medium,No,Kharif,Cold Wave,3309,283,4.8,Within 10 Days,297,281,2026-07-30
Karnataka,Hassan,Pune,Tomato,Arka Saurabh,9833,1774,1567,2014,Rising,High,High,Average,Yes,Medium,Yes,Rabi,Cold Wave,2991,80,4.6,Hold for 30 Days,1809,2014,2026-07-31
Gujarat,Mehsana,Sangli,Soybean,Non-GMO Soybean,472,3730,3002,4203,Rising,High,High,Premium,Yes,Medium,No,Kharif,Cold Wave,820,248,3.9,Next Week,3919,3957,2026-07-25
Punjab,Moga,Azadpur,Millet,Ragi Millet,2685,2144,1858,2599,Falling,High,High,Good,Yes,Medium,Yes,Zaid,Flood,1515,38,3.3,Hold for 30 Days,2053,1939,2026-07-28
Madhya Pradesh,Ratlam,Kurnool,Garlic,G-282,2529,7214,6294,8209,Rising,Medium,High,Good,Yes,Low,No,Zaid,Drought,4015,209,3.8,Today,7493,7800,2026-07-29
Uttar Pradesh,Lucknow,Chennai,Groundnut,TL-001,3456,4476,3974,5506,Rising,High,High,Average,No,Medium,Yes,Perennial,Heavy Rain,3196,345,4.9,Hold for 15 Days,4798,5022,2026-07-29
Andhra Pradesh,Tirupati,Kota,Cotton,Bunny Bt,921,4987,4037,6134,Rising,High,Low,Premium,No,Medium,Yes,Perennial,Drought,4895,397,4.6,Hold for 30 Days,5288,5513,2026-07-24
Chhattisgarh,Durg,Lasalgaon,Soybean,MAUS-61,5112,4599,3561,5783,Rising,Medium,Medium,Premium,Yes,High,Yes,Kharif,Cold Wave,4645,115,3.8,Hold for 15 Days,4785,4999,2026-07-28
Bihar,Munger,Jaipur,Maize,Hybrid Maize,2629,900,742,1075,Rising,Low,High,Average,No,Low,No,Zaid,Heatwave,2065,391,4.0,Next Week,941,970,2026-07-23
Andhra Pradesh,Prakasam,Kurnool,Garlic,Large Bulb Garlic,6525,5021,4572,6462,Rising,Low,High,Good,No,High,No,Kharif,Heatwave,363,259,4.5,Within 3 Days,5160,5539,2026-07-30
Tamil Nadu,Thoothukudi,Lucknow,Banana,Grand Naine,3579,1866,1691,2449,Rising,Low,High,Average,No,Medium,No,Perennial,Flood,2671,63,3.8,Next Week,1922,2136,2026-07-26
West Bengal,Malda,Pune,Grapes,Thompson Grapes,7188,3247,2915,4160,Rising,Low,Medium,Premium,No,Low,Yes,Kharif,Heatwave,4481,329,3.2,Hold for 30 Days,3349,3661,2026-07-28
Odisha,Rourkela,Nagpur,Cotton,Bt Cotton,3282,5297,4132,6826,Stable,High,Low,Good,No,High,No,Zaid,Normal,2889,82,3.9,Hold for 15 Days,5284,5192,2026-07-29
Andhra Pradesh,Guntur,Kota,Millet,Bajra Millet,7615,1768,1349,2321,Falling,Medium,High,Premium,No,High,No,Kharif,Normal,3984,297,4.3,Next Week,1690,1591,2026-08-02
Rajasthan,Kota,Varanasi,Chilli,Teja Chilli,2116,5373,4934,6563,Rising,Low,High,Average,Yes,High,No,Zaid,Heavy Rain,2617,203,3.8,Next Week,5699,5669,2026-07-23
Telangana,Mahabubnagar,Pune,Chilli,Guntur Chilli,2828,4031,3251,4987,Stable,Medium,Medium,Premium,No,Medium,No,Perennial,Drought,1356,309,4.4,Today,4000,3981,2026-07-28
West Bengal,Durgapur,Chennai,Millet,Bajra Millet,11034,2136,1714,2855,Rising,Medium,Low,Good,No,Medium,Yes,Rabi,Cold Wave,1426,84,3.2,Today,2243,2358,2026-07-25
Maharashtra,Solapur,Visakhapatnam,Sugarcane,Co-16013,681,333,290,363,Stable,High,High,Good,Yes,Low,No,Zaid,Flood,3977,124,4.1,Next Week,339,342,2026-07-30
Uttar Pradesh,Moradabad,Salem,Turmeric,Erode Turmeric,2109,6339,5405,8340,Rising,Low,Medium,Premium,No,High,No,Kharif,Flood,4526,68,3.6,Within 3 Days,6569,7229,2026-07-31
West Bengal,Kharagpur,Pune,Potato,Chandrakhi,486,1228,970,1655,Stable,Medium,High,Good,Yes,Medium,Yes,Zaid,Normal,1111,370,4.3,Within 3 Days,1210,1201,2026-07-26
Odisha,Rourkela,Bhopal,Groundnut,TAG-24,71,3530,2976,4505,Rising,High,High,Average,No,Medium,Yes,Zaid,Drought,2246,159,3.2,Within 3 Days,3689,3986,2026-07-26
Karnataka,Belagavi,Lucknow,Groundnut,T-64,117,3166,2531,3420,Rising,Low,Low,Good,Yes,Low,No,Rabi,Drought,1001,273,4.9,Today,3410,3496,2026-07-25
Tamil Nadu,Salem,Ludhiana,Groundnut,TL-001,6388,4262,3767,4999,Rising,Medium,Medium,Average,Yes,Low,No,Rabi,Cold Wave,663,185,4.1,Within 10 Days,4392,4807,2026-07-26
Odisha,Baripada,Mysuru,Soybean,JS-335,2982,2240,1981,2954,Rising,Medium,High,Good,No,Medium,No,Perennial,Heavy Rain,2375,23,4.5,Within 3 Days,2323,2545,2026-08-02
West Bengal,Malda,Sangli,Cotton,Surabhi,3693,5376,4921,6526,Falling,Medium,Low,Good,No,Medium,No,Kharif,Flood,3777,45,3.9,Within 3 Days,5121,4742,2026-08-01
Uttar Pradesh,Prayagraj,Solapur,Turmeric,Rajapur Turmeric,7031,6743,5105,8866,Falling,High,Low,Good,No,Medium,No,Kharif,Cold Wave,914,348,4.3,Next Week,6411,6237,2026-07-31
Maharashtra,Kolhapur,Coimbatore,Turmeric,High Curcumin Turmeric,1151,6410,5842,6978,Falling,High,Low,Premium,No,Medium,No,Zaid,Heatwave,3936,395,3.2,Within 3 Days,6100,5703,2026-07-23
Haryana,Rohtak,Nashik,Rice,MTU-1010,8226,2441,2152,3100,Rising,Low,Medium,Premium,No,Low,No,Rabi,Heatwave,1304,74,4.7,Hold for 15 Days,2515,2737,2026-08-01
Bihar,Purnia,Chennai,Banana,Dwarf Cavendish,2302,2513,2187,3189,Rising,Low,Medium,Premium,No,Medium,Yes,Kharif,Heavy Rain,1946,76,3.5,Hold for 15 Days,2567,2777,2026-07-28
Rajasthan,Sikar,Kolhapur,Maize,Hybrid Maize,6573,1234,1086,1607,Stable,Low,Low,Premium,Yes,Medium,No,Kharif,Normal,3986,243,4.4,Next Week,1215,1274,2026-07-25
Telangana,Rangareddy,Hubli,Sugarcane,Co-15018,3780,369,287,430,Rising,High,High,Average,Yes,Low,No,Zaid,Drought,946,133,3.4,Hold for 30 Days,382,410,2026-07-24
Tamil Nadu,Chennai,Kurnool,Soybean,Co-1,681,4602,3715,6118,Stable,High,Low,Premium,Yes,Low,Yes,Kharif,Drought,2468,338,3.4,Hold for 30 Days,4586,4665,2026-07-26
Chhattisgarh,Ambikapur,Solapur,Garlic,G-282,11272,3990,3099,4756,Rising,Medium,Medium,Good,Yes,Medium,No,Rabi,Heatwave,2860,372,3.6,Next Week,4303,4241,2026-07-28
Tamil Nadu,Thoothukudi,Nashik,Chilli,Byadgi Chilli,551,3952,2997,5276,Rising,Medium,Medium,Average,No,High,Yes,Rabi,Flood,2982,300,4.4,Within 3 Days,4211,4346,2026-07-25
Rajasthan,Alwar,Visakhapatnam,Garlic,G-282,418,5788,4914,6327,Rising,Medium,Low,Good,No,Medium,No,Zaid,Heavy Rain,4696,9,4.7,Hold for 15 Days,5950,6230,2026-07-28
Bihar,Arrah,Kota,Wheat,PBW-343,2385,2586,1971,3144,Stable,Low,High,Average,No,Medium,Yes,Rabi,Heavy Rain,1092,206,3.7,Next Week,2591,2551,2026-07-31
Punjab,Moga,Kurnool,Mango,Kesar Mango,235,5994,4978,7213,Falling,High,High,Average,Yes,Low,No,Zaid,Heavy Rain,1631,206,5.0,Within 10 Days,5817,5450,2026-07-25
West Bengal,Burdwan,Hyderabad,Groundnut,Phule Pragati,1277,2923,2679,3617,Falling,Medium,High,Average,Yes,Medium,No,Zaid,Drought,2164,374,3.1,Hold for 15 Days,2719,2668,2026-07-24
Bihar,Arrah,Kolhapur,Potato,Kufri Jyoti,3933,1263,1014,1415,Rising,Low,High,Average,Yes,High,No,Perennial,Drought,810,366,3.3,Within 3 Days,1330,1452,2026-07-26
Tamil Nadu,Erode,Indore,Soybean,Pusa Bold,1452,3224,2770,4085,Stable,Low,Medium,Average,No,Low,Yes,Rabi,Drought,2585,290,3.6,Next Week,3258,3290,2026-07-26
Uttar Pradesh,Ghaziabad,Kota,Pulses,Rajma,4765,8361,7543,9920,Stable,High,Low,Good,Yes,Low,No,Kharif,Normal,2656,370,3.2,Hold for 15 Days,8413,8567,2026-07-30
Punjab,Firozpur,Sangli,Pulses,Rajma,2299,6905,5463,8706,Stable,High,Low,Average,Yes,Low,Yes,Kharif,Normal,1120,216,3.7,Hold for 15 Days,6794,7091,2026-08-02
Tamil Nadu,Coimbatore,Karnal,Groundnut,TAG-24,3317,3042,2751,3358,Stable,Medium,Medium,Average,Yes,Medium,Yes,Rabi,Cold Wave,3723,95,4.9,Today,3102,3010,2026-07-26
Gujarat,Amreli,Visakhapatnam,Wheat,Basmati Wheat,9355,3105,2850,3808,Falling,Low,High,Good,Yes,Medium,No,Zaid,Normal,1879,62,3.7,Within 10 Days,2942,2719,2026-07-31
Maharashtra,Solapur,Varanasi,Garlic,G-4,3214,8858,7419,9774,Falling,High,Low,Average,Yes,Low,Yes,Rabi,Cold Wave,4211,170,4.9,Today,8287,7737,2026-07-29
Uttar Pradesh,Prayagraj,Ahmedabad,Rice,Sona Masuri,5940,1920,1591,2156,Stable,Low,High,Average,No,High,Yes,Zaid,Cold Wave,3310,319,3.4,Within 3 Days,1918,1911,2026-07-24
Uttar Pradesh,Meerut,Kolkata,Pulses,Masoor Dal,3334,7051,6334,7770,Stable,Low,High,Good,No,High,Yes,Kharif,Drought,805,285,4.8,Within 3 Days,7071,6804,2026-07-28
West Bengal,Burdwan,Salem,Cotton,NHH-44,11795,4977,4416,5984,Stable,Low,Medium,Average,No,High,No,Kharif,Heatwave,4877,241,4.3,Next Week,5021,4925,2026-08-02
Odisha,Berhampur,Ahmedabad,Maize,Hybrid Maize,1461,741,679,894,Rising,Low,High,Good,No,Low,Yes,Rabi,Flood,3743,196,5.0,Hold for 15 Days,775,846,2026-07-27
Madhya Pradesh,Kota,Chennai,Pulses,Moong Dal,5747,8105,6254,10895,Falling,High,High,Premium,Yes,Low,No,Perennial,Cold Wave,4760,222,4.1,Within 3 Days,7576,7169,2026-07-29
Punjab,Fatehgarh Sahib,Azadpur,Grapes,Flame Seedless,1035,2659,2196,3354,Stable,High,High,Premium,Yes,High,Yes,Perennial,Heavy Rain,3895,124,4.1,Today,2620,2790,2026-07-30
West Bengal,Jalpaiguri,Indore,Chilli,Byadgi Chilli,2397,5409,4309,6654,Falling,Low,Low,Average,Yes,High,No,Perennial,Normal,684,181,4.9,Within 10 Days,5099,4881,2026-07-27
Madhya Pradesh,Bhopal,Solapur,Mango,Langra Mango,1989,3198,2836,4243,Stable,High,High,Average,No,Medium,No,Rabi,Drought,3481,129,3.5,Next Week,3216,3333,2026-07-28
Karnataka,Shivamogga,Patna,Tomato,Hybrid Tomato,6229,1400,1094,1799,Rising,Low,Low,Average,Yes,Low,No,Rabi,Normal,3027,160,4.9,Today,1445,1496,2026-08-01
Odisha,Baripada,Warangal,Potato,Kufri Chipsona,2932,1590,1402,1880,Stable,High,Medium,Average,No,High,No,Zaid,Drought,3246,267,4.8,Hold for 15 Days,1564,1666,2026-07-26
Bihar,Purnia,Warangal,Tomato,Cherry Tomato,6831,2499,1881,3072,Stable,High,Low,Average,No,High,No,Rabi,Normal,1907,173,3.5,Hold for 30 Days,2532,2498,2026-07-23
Telangana,Mahabubnagar,Sangli,Groundnut,Phule Pragati,8087,3143,2432,3858,Falling,Medium,High,Premium,Yes,Low,Yes,Kharif,Cold Wave,697,396,3.0,Within 3 Days,3050,2744,2026-07-31
Maharashtra,Nagpur,Kurnool,Turmeric,Erode Turmeric,2580,5797,4828,6271,Falling,Low,Low,Average,No,Low,Yes,Kharif,Heavy Rain,4636,374,3.5,Next Week,5339,5398,2026-07-23
Madhya Pradesh,Bhopal,Nashik,Cotton,Bunny Bt,3998,6262,4981,7434,Falling,High,Low,Good,No,Low,No,Rabi,Heatwave,2150,158,4.4,Today,6006,5860,2026-08-02
Karnataka,Mandya,Ludhiana,Mango,Kesar Mango,279,2170,1811,2597,Rising,Low,High,Good,Yes,Low,Yes,Rabi,Flood,2031,359,4.8,Hold for 15 Days,2248,2479,2026-07-23
Chhattisgarh,Durg,Visakhapatnam,Pulses,Chana Dal,589,10509,8139,13678,Rising,High,Medium,Good,Yes,High,No,Rabi,Cold Wave,4919,128,4.1,Hold for 15 Days,11146,11602,2026-07-27
Bihar,Bhagalpur,Varanasi,Maize,HQPM-1,5716,1818,1386,2260,Rising,High,High,Average,No,Medium,No,Kharif,Cold Wave,2539,235,4.0,Next Week,1914,1977,2026-07-31
Telangana,Rangareddy,Chennai,Mango,Alphonso Mango,1259,5003,3883,6364,Rising,High,Low,Average,Yes,High,No,Zaid,Drought,3254,59,3.2,Next Week,5236,5634,2026-08-01
Gujarat,Surendranagar,Hubli,Grapes,Manik Chaman,2322,2399,1943,2651,Rising,Low,Medium,Average,No,High,No,Kharif,Drought,2690,216,3.8,Today,2551,2653,2026-07-30
Andhra Pradesh,Nellore,Hubli,Mango,Langra Mango,4455,2759,2147,3185,Rising,Medium,Medium,Good,No,Medium,Yes,Zaid,Heatwave,2361,131,4.4,Hold for 15 Days,2912,2950,2026-08-01
Gujarat,Amreli,Lasalgaon,Mango,Dasheri Mango,1606,5840,5197,7333,Falling,Medium,Medium,Average,Yes,Medium,No,Zaid,Drought,1945,250,3.6,Hold for 15 Days,5712,5134,2026-07-23
Rajasthan,Pali,Varanasi,Potato,Kufri Bahar,1198,1109,943,1361,Stable,Medium,Medium,Average,Yes,High,No,Rabi,Flood,3891,154,4.7,Today,1123,1141,2026-07-27
Telangana,Adilabad,Kolhapur,Garlic,Yamuna Safed-3,10841,5192,4290,6445,Falling,High,Low,Average,No,Medium,No,Kharif,Normal,3245,364,4.8,Hold for 30 Days,4961,4887,2026-08-01
Bihar,Muzaffarpur,Chennai,Banana,Robusta,10088,3571,2920,4582,Stable,High,Low,Good,Yes,Low,Yes,Kharif,Cold Wave,2419,118,4.0,Hold for 30 Days,3579,3638,2026-07-30
Rajasthan,Ajmer,Ludhiana,Turmeric,Nanded Turmeric,2878,4189,3216,4994,Rising,Low,High,Premium,Yes,Medium,Yes,Zaid,Drought,2855,180,3.9,Within 3 Days,4403,4544,2026-08-01
Rajasthan,Alwar,Indore,Maize,Yellow Maize,3368,1314,1009,1702,Falling,Low,High,Average,Yes,High,Yes,Rabi,Heavy Rain,3011,291,3.9,Hold for 15 Days,1227,1170,2026-07-31
Gujarat,Gandhinagar,Ludhiana,Rice,MTU-1010,3667,3900,2927,4438,Falling,High,Medium,Good,Yes,Low,Yes,Rabi,Drought,3296,171,3.4,Today,3649,3651,2026-07-25
Telangana,Mahabubnagar,Jaipur,Mango,Kesar Mango,2454,5782,4506,7296,Falling,High,Medium,Good,Yes,Medium,Yes,Zaid,Flood,1265,127,3.6,Within 3 Days,5448,4996,2026-07-27
Madhya Pradesh,Ratlam,Kolhapur,Mango,Chausa Mango,8023,5901,5428,7257,Stable,Low,Low,Good,No,Low,Yes,Rabi,Heatwave,2877,235,4.2,Next Week,6007,5891,2026-07-30
West Bengal,Kharagpur,Hyderabad,Millet,Kodo Millet,1725,1792,1492,1975,Stable,Low,Medium,Premium,Yes,Medium,No,Kharif,Flood,2551,120,4.1,Within 3 Days,1812,1803,2026-07-26
Tamil Nadu,Thoothukudi,Nashik,Cotton,Surabhi,3422,6420,5411,8649,Stable,Medium,Low,Premium,Yes,High,No,Kharif,Drought,3984,139,3.7,Today,6404,6737,2026-07-30
Punjab,Moga,Kolkata,Banana,Dwarf Cavendish,2641,2796,2195,3175,Rising,Medium,High,Premium,No,Low,No,Rabi,Drought,2951,365,3.6,Hold for 30 Days,2896,3175,2026-07-23
West Bengal,Howrah,Kolhapur,Grapes,Thompson Grapes,10796,3892,3389,5073,Rising,High,Low,Average,No,High,No,Rabi,Normal,2501,326,3.8,Hold for 15 Days,3987,4395,2026-08-01
Madhya Pradesh,Satna,Patna,Onion,Bellary Red,7499,1181,1032,1421,Rising,Medium,Medium,Average,No,Low,Yes,Perennial,Normal,2084,224,4.6,Hold for 15 Days,1223,1337,2026-07-28
Tamil Nadu,Dindigul,Kolhapur,Groundnut,K-6,843,2965,2286,3888,Falling,High,High,Good,No,Low,Yes,Perennial,Cold Wave,1957,357,4.8,Within 10 Days,2781,2779,2026-07-29
