Disease_ID,Crop,Disease_Name,Disease_Type,Causal_Organism,Symptoms,Treatment,Organic_Control,Chemical_Control,Prevention,Favorable_Conditions,Severity,Yield_Loss_Percentage,Recommended_Fertilizer,Keywords
DIS0064,Tomato,Early Blight,Fungal,Various,Leaf drying,Use certified seeds,Neem oil spray,Metalaxyl,Proper spacing,Heavy rainfall,High,33,Balanced NPK,"Tomato,Early Blight"
DIS0065,Tomato,Early Blight,Fungal,Various,Leaf drying,Remove infected leaves,Compost tea,Carbendazim,Proper spacing,Heavy rainfall,Medium,54,Balanced NPK,"Tomato,Early Blight"
DIS0066,Tomato,Early Blight,Fungal,Various,Yellowing of leaves,Use certified seeds,Neem oil spray,Copper Oxychloride,Balanced fertilization,Poor air circulation,High,34,Balanced NPK,"Tomato,Early Blight"
DIS0067,Tomato,Early Blight,Fungal,Various,Leaf drying,Use certified seeds,Compost tea,Chlorothalonil,Balanced fertilization,Cool weather,Low,22,Balanced NPK,"Tomato,Early Blight"
DIS0068,Tomato,Early Blight,Fungal,Various,Yellowing of leaves,Remove infected leaves,Neem oil spray,Mancozeb,Disease-free seeds,Poor air circulation,Medium,41,Balanced NPK,"Tomato,Early Blight"
DIS0069,Tomato,Early Blight,Fungal,Various,Wilting,Improve drainage,Compost tea,Mancozeb,Balanced fertilization,High humidity,Medium,31,Balanced NPK,"Tomato,Early Blight"
DIS0070,Tomato,Early Blight,Fungal,Various,Fruit rot,Avoid overhead irrigation,Compost tea,Copper Oxychloride,Balanced fertilization,Heavy rainfall,High,46,Balanced NPK,"Tomato,Early Blight"
DIS0071,Tomato,Early Blight,Fungal,Various,Leaf curling,Use certified seeds,Compost tea,Carbendazim,Balanced fertilization,Poor air circulation,Low,42,Balanced NPK,"Tomato,Early Blight"
DIS0072,Tomato,Early Blight,Fungal,Various,Fruit rot,Avoid overhead irrigation,Trichoderma application,Metalaxyl,Field sanitation,High humidity,High,9,Balanced NPK,"Tomato,Early Blight"
DIS0073,Tomato,Early Blight,Fungal,Various,Leaf curling,Apply recommended fungicide,Neem oil spray,Chlorothalonil,Crop rotation,High humidity,Medium,38,Balanced NPK,"Tomato,Early Blight"
DIS0074,Tomato,Early Blight,Fungal,Various,Stem lesions,Avoid overhead irrigation,Trichoderma application,Carbendazim,Field sanitation,Poor air circulation,Medium,43,Balanced NPK,"Tomato,Early Blight"
DIS0075,Tomato,Early Blight,Fungal,Various,Yellowing of leaves,Avoid overhead irrigation,Neem oil spray,Carbendazim,Crop rotation,Poor air circulation,Low,57,Balanced NPK,"Tomato,Early Blight"
DIS0076,Tomato,Early Blight,Fungal,Various,Yellowing of leaves,Remove infected leaves,Garlic extract spray,Copper Oxychloride,Proper spacing,High humidity,Medium,52,Balanced NPK,"Tomato,Early Blight"
DIS0077,Tomato,Early Blight,Fungal,Various,Fruit rot,Use certified seeds,Neem oil spray,Carbendazim,Field sanitation,Poor air circulation,High,5,Balanced NPK,"Tomato,Early Blight"
DIS0078,Tomato,Early Blight,Fungal,Various,Stem lesions,Apply recommended fungicide,Compost tea,Copper Oxychloride,Proper spacing,Poor air circulation,Low,50,Balanced NPK,"Tomato,Early Blight"
DIS0079,Tomato,Early Blight,Fungal,Various,Leaf drying,Avoid overhead irrigation,Neem oil spray,Metalaxyl,Disease-free seeds,High humidity,Low,17,Balanced NPK,"Tomato,Early Blight"
DIS0080,Tomato,Early Blight,Fungal,Various,Yellowing of leaves,Use certified seeds,Compost tea,Chlorothalonil,Field sanitation,Cool weather,High,7,Balanced NPK,"Tomato,Early Blight"
DIS0081,Tomato,Leaf Mold,Fungal,Various,Wilting,Apply recommended fungicide,Neem oil spray,Metalaxyl,Disease-free seeds,Heavy rainfall,High,32,Balanced NPK,"Tomato,Leaf Mold"
DIS0082,Tomato,Leaf Mold,Fungal,Various,Brown spots on leaves,Apply copper-based fungicide,Trichoderma application,Metalaxyl,Proper spacing,High humidity,Medium,44,Balanced NPK,"Tomato,Leaf Mold"
DIS0083,Tomato,Leaf Mold,Fungal,Various,Yellowing of leaves,Avoid overhead irrigation,Trichoderma application,Mancozeb,Proper spacing,Heavy rainfall,High,39,Balanced NPK,"Tomato,Leaf Mold"
DIS0084,Tomato,Leaf Mold,Fungal,Various,Wilting,Apply recommended fungicide,Compost tea,Chlorothalonil,Disease-free seeds,Cool weather,Medium,25,Balanced NPK,"Tomato,Leaf Mold"
DIS0085,Tomato,Leaf Mold,Fungal,Various,Yellowing of leaves,Improve drainage,Neem oil spray,Copper Oxychloride,Field sanitation,Cool weather,Medium,20,Balanced NPK,"Tomato,Leaf Mold"
DIS0086,Tomato,Leaf Mold,Fungal,Various,Stem lesions,Use certified seeds,Garlic extract spray,Copper Oxychloride,Balanced fertilization,High humidity,High,42,Balanced NPK,"Tomato,Leaf Mold"
DIS0087,Tomato,Leaf Mold,Fungal,Various,Brown spots on leaves,Apply copper-based fungicide,Trichoderma application,Carbendazim,Balanced fertilization,Heavy rainfall,High,6,Balanced NPK,"Tomato,Leaf Mold"
DIS0088,Tomato,Leaf Mold,Fungal,Various,Wilting,Avoid overhead irrigation,Neem oil spray,Carbendazim,Balanced fertilization,Heavy rainfall,High,46,Balanced NPK,"Tomato,Leaf Mold"
DIS0089,Tomato,Leaf Mold,Fungal,Various,Wilting,Apply copper-based fungicide,Garlic extract spray,Mancozeb,Proper spacing,Poor air circulation,Low,16,Balanced NPK,"Tomato,Leaf Mold"
DIS0090,Tomato,Leaf Mold,Fungal,Various,Fruit rot,Avoid overhead irrigation,Compost tea,Copper Oxychloride,Proper spacing,Poor air circulation,Low,40,Balanced NPK,"Tomato,Leaf Mold"
DIS0091,Tomato,Leaf Mold,Fungal,Various,White fungal growth,Remove infected leaves,Garlic extract spray,Mancozeb,Balanced fertilization,Cool weather,Low,24,Balanced NPK,"Tomato,Leaf Mold"
DIS0092,Tomato,Leaf Mold,Fungal,Various,Yellowing of leaves,Use certified seeds,Trichoderma application,Mancozeb,Disease-free seeds,Poor air circulation,Medium,55,Balanced NPK,"Tomato,Leaf Mold"
DIS0093,Tomato,Leaf Mold,Fungal,Various,Yellowing of leaves,Avoid overhead irrigation,Neem oil spray,Chlorothalonil,Field sanitation,Cool weather,Medium,52,Balanced NPK,"Tomato,Leaf Mold"
DIS0094,Tomato,Leaf Mold,Fungal,Various,Leaf curling,Avoid overhead irrigation,Garlic extract spray,Mancozeb,Proper spacing,Heavy rainfall,High,28,Balanced NPK,"Tomato,Leaf Mold"
DIS0095,Tomato,Leaf Mold,Fungal,Various,White fungal growth,Remove infected leaves,Trichoderma application,Metalaxyl,Crop rotation,Cool weather,High,50,Balanced NPK,"Tomato,Leaf Mold"
DIS0096,Tomato,Leaf Mold,Fungal,Various,Wilting,Apply recommended fungicide,Garlic extract spray,Copper Oxychloride,Balanced fertilization,High humidity,High,56,Balanced NPK,"Tomato,Leaf Mold"
DIS0097,Tomato,Leaf Mold,Fungal,Various,Fruit rot,Apply recommended fungicide,Compost tea,Metalaxyl,Disease-free seeds,Poor air circulation,Low,53,Balanced NPK,"Tomato,Leaf Mold"
DIS0098,Tomato,Leaf Mold,Fungal,Various,Yellowing of leaves,Remove infected leaves,Compost tea,Copper Oxychloride,Proper spacing,Poor air circulation,High,30,Balanced NPK,"Tomato,Leaf Mold"
DIS0099,Tomato,Leaf Mold,Fungal,Various,Leaf curling,Apply copper-based fungicide,Compost tea,Mancozeb,Field sanitation,High humidity,Medium,22,Balanced NPK,"Tomato,Leaf Mold"
DIS0100,Tomato,Leaf Mold,Fungal,Various,White fungal growth,Remove infected leaves,Trichoderma application,Copper Oxychloride,Balanced fertilization,Poor air circulation,Low,48,Balanced NPK,"Tomato,Leaf Mold"
DIS0101,Tomato,Leaf Mold,Fungal,Various,Leaf drying,Improve drainage,Compost tea,Chlorothalonil,Balanced fertilization,Heavy rainfall,High,32,Balanced NPK,"Tomato,Leaf Mold"
DIS0102,Tomato,Leaf Mold,Fungal,Various,Stem lesions,Improve drainage,Trichoderma application,Copper Oxychloride,Disease-free seeds,Poor air circulation,High,7,Balanced NPK,"Tomato,Leaf Mold"
DIS0103,Tomato,Leaf Mold,Fungal,Various,Leaf drying,Apply copper-based fungicide,Compost tea,Metalaxyl,Crop rotation,High humidity,Medium,14,Balanced NPK,"Tomato,Leaf Mold"
DIS0104,Tomato,Leaf Mold,Fungal,Various,Leaf curling,Remove infected leaves,Garlic extract spray,Carbendazim,Disease-free seeds,Poor air circulation,Medium,6,Balanced NPK,"Tomato,Leaf Mold"
DIS0105,Tomato,Leaf Mold,Fungal,Various,Wilting,Apply copper-based fungicide,Garlic extract spray,Metalaxyl,Proper spacing,Cool weather,High,47,Balanced NPK,"Tomato,Leaf Mold"
DIS0106,Tomato,Leaf Mold,Fungal,Various,Yellowing of leaves,Remove infected leaves,Neem oil spray,Metalaxyl,Disease-free seeds,Poor air circulation,Low,41,Balanced NPK,"Tomato,Leaf Mold"
DIS0107,Tomato,Leaf Mold,Fungal,Various,Fruit rot,Improve drainage,Trichoderma application,Copper Oxychloride,Balanced fertilization,Heavy rainfall,Low,41,Balanced NPK,"Tomato,Leaf Mold"
DIS0108,Tomato,Leaf Mold,Fungal,Various,Leaf curling,Use certified seeds,Neem oil spray,Metalaxyl,Crop rotation,Poor air circulation,Low,10,Balanced NPK,"Tomato,Leaf Mold"
DIS0109,Tomato,Leaf Mold,Fungal,Various,Leaf drying,Remove infected leaves,Trichoderma application,Mancozeb,Field sanitation,Heavy rainfall,High,53,Balanced NPK,"Tomato,Leaf Mold"
DIS0110,Tomato,Leaf Mold,Fungal,Various,Yellowing of leaves,Apply copper-based fungicide,Neem oil spray,Copper Oxychloride,Balanced fertilization,Heavy rainfall,High,27,Balanced NPK,"Tomato,Leaf Mold"
DIS0111,Tomato,Leaf Mold,Fungal,Various,White fungal growth,Avoid overhead irrigation,Garlic extract spray,Copper Oxychloride,Disease-free seeds,Cool weather,Low,23,Balanced NPK,"Tomato,Leaf Mold"
DIS0112,Tomato,Leaf Mold,Fungal,Various,Leaf drying,Use certified seeds,Neem oil spray,Carbendazim,Crop rotation,Poor air circulation,High,12,Balanced NPK,"Tomato,Leaf Mold"
DIS0113,Tomato,Leaf Mold,Fungal,Various,White fungal growth,Avoid overhead irrigation,Compost tea,Copper Oxychloride,Crop rotation,High humidity,Medium,53,Balanced NPK,"Tomato,Leaf Mold"
DIS0114,Tomato,Leaf Mold,Fungal,Various,Leaf drying,Improve drainage,Trichoderma application,Metalaxyl,Crop rotation,High humidity,High,39,Balanced NPK,"Tomato,Leaf Mold"
DIS0115,Tomato,Leaf Mold,Fungal,Various,White fungal growth,Use certified seeds,Garlic extract spray,Copper Oxychloride,Proper spacing,Poor air circulation,Low,32,Balanced NPK,"Tomato,Leaf Mold"
DIS0116,Tomato,Leaf Mold,Fungal,Various,Yellowing of leaves,Apply recommended fungicide,Trichoderma application,Copper Oxychloride,Proper spacing,High humidity,Medium,26,Balanced NPK,"Tomato,Leaf Mold"
DIS0117,Tomato,Leaf Mold,Fungal,Various,Yellowing of leaves,Use certified seeds,Neem oil spray,Carbendazim,Proper spacing,Heavy rainfall,Medium,27,Balanced NPK,"Tomato,Leaf Mold"
DIS0118,Tomato,Leaf Mold,Fungal,Various,Yellowing of leaves,Avoid overhead irrigation,Trichoderma application,Metalaxyl,Balanced fertilization,High humidity,Low,19,Balanced NPK,"Tomato,Leaf Mold"
DIS0119,Tomato,Leaf Mold,Fungal,Various,Leaf drying,Avoid overhead irrigation,Neem oil spray,Chlorothalonil,Field sanitation,High humidity,Low,41,Balanced NPK,"Tomato,Leaf Mold"
DIS0120,Tomato,Leaf Mold,Fungal,Various,Leaf drying,Improve drainage,Trichoderma application,Chlorothalonil,Field sanitation,Poor air circulation,Medium,42,Balanced NPK,"Tomato,Leaf Mold"
DIS0121,Tomato,Bacterial Spot,Bacterial,Various,Wilting,Use certified seeds,Trichoderma application,Copper Oxychloride,Proper spacing,Cool weather,Medium,31,Balanced NPK,"Tomato,Bacterial Spot"
DIS0122,Tomato,Bacterial Spot,Bacterial,Various,Brown spots on leaves,Apply recommended fungicide,Neem oil spray,Metalaxyl,Balanced fertilization,Poor air circulation,Low,34,Balanced NPK,"Tomato,Bacterial Spot"
DIS0123,Tomato,Bacterial Spot,Bacterial,Various,Fruit rot,Improve drainage,Compost tea,Copper Oxychloride,Field sanitation,Heavy rainfall,Medium,45,Balanced NPK,"Tomato,Bacterial Spot"
DIS0124,Tomato,Bacterial Spot,Bacterial,Various,Leaf curling,Apply copper-based fungicide,Compost tea,Copper Oxychloride,Proper spacing,Heavy rainfall,Medium,52,Balanced NPK,"Tomato,Bacterial Spot"
DIS0125,Tomato,Bacterial Spot,Bacterial,Various,White fungal growth,Apply recommended fungicide,Garlic extract spray,Chlorothalonil,Proper spacing,Cool weather,Low,50,Balanced NPK,"Tomato,Bacterial Spot"
DIS0126,Tomato,Bacterial Spot,Bacterial,Various,Stem lesions,Remove infected leaves,Compost tea,Chlorothalonil,Balanced fertilization,High humidity,High,12,Balanced NPK,"Tomato,Bacterial Spot"
DIS0127,Tomato,Bacterial Spot,Bacterial,Various,Yellowing of leaves,Improve drainage,Garlic extract spray,Copper Oxychloride,Crop rotation,Poor air circulation,Low,42,Balanced NPK,"Tomato,Bacterial Spot"
DIS0128,Tomato,Bacterial Spot,Bacterial,Various,Wilting,Use certified seeds,Compost tea,Carbendazim,Field sanitation,Cool weather,Low,25,Balanced NPK,"Tomato,Bacterial Spot"
DIS0129,Tomato,Bacterial Spot,Bacterial,Various,Leaf drying,Remove infected leaves,Compost tea,Metalaxyl,Proper spacing,Heavy rainfall,Low,27,Balanced NPK,"Tomato,Bacterial Spot"
DIS0130,Tomato,Bacterial Spot,Bacterial,Various,Yellowing of leaves,Avoid overhead irrigation,Garlic extract spray,Carbendazim,Disease-free seeds,Cool weather,High,40,Balanced NPK,"Tomato,Bacterial Spot"
DIS0131,Tomato,Bacterial Spot,Bacterial,Various,White fungal growth,Improve drainage,Trichoderma application,Metalaxyl,Crop rotation,Poor air circulation,Medium,47,Balanced NPK,"Tomato,Bacterial Spot"
DIS0132,Tomato,Bacterial Spot,Bacterial,Various,Brown spots on leaves,Use certified seeds,Neem oil spray,Mancozeb,Balanced fertilization,High humidity,Medium,57,Balanced NPK,"Tomato,Bacterial Spot"
DIS0133,Tomato,Bacterial Spot,Bacterial,Various,Stem lesions,Remove infected leaves,Neem oil spray,Metalaxyl,Disease-free seeds,Poor air circulation,Low,5,Balanced NPK,"Tomato,Bacterial Spot"
DIS0134,Tomato,Bacterial Spot,Bacterial,Various,Leaf drying,Avoid overhead irrigation,Garlic extract spray,Chlorothalonil,Balanced fertilization,High humidity,Medium,39,Balanced NPK,"Tomato,Bacterial Spot"
DIS0135,Tomato,Bacterial Spot,Bacterial,Various,Brown spots on leaves,Avoid overhead irrigation,Garlic extract spray,Chlorothalonil,Proper spacing,Poor air circulation,Low,33,Balanced NPK,"Tomato,Bacterial Spot"
