Scheme_ID,Scheme_Name,Type,State,District,Category,Crop,Min_Land_Acres,Max_Land_Acres,Income_Limit,Gender,Age_Min,Age_Max,FPO_Required,Organic_Required,Irrigation_Required,Need,Eligibility,Benefit,Subsidy,Required_Documents,Apply_At,Official_Website,Keywords
AGRI011,Horticulture Cluster Development Program (CDP) (Bihar Implementation),Horticulture Department,Bihar,Patna,Horticulture,Vegetables,0.0,2.0,None,Female Only,18,65,No,No,No,Need cluster infrastructure,"Farmers residing in Patna district of Bihar, cultivating Vegetables, owning between 0.0 and 2.0 acres of land, registered with the state agriculture portal.",Up to ₹50 lakh grant for post-harvest support,Up to ₹10 lakh,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable)",Horticulture Department Office,https://midh.gov.in/,"vegetables, horticulture, bihar farmer, patna, horticulture, government subsidy, agricultural support"
AGRI012,PKVY - Assam Sonitpur Chapter,State Government,Assam,Sonitpur,Organic Farming,Pulses,0.0,20.0,Below ₹5 Lakh/year,Male & Female,21,75,No,Yes,No,Need organic certification,"Farmers residing in Sonitpur district of Assam, cultivating Pulses, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal. Must adhere to certified organic farming practices.","₹50,000 per ha assistance for cluster organic farming",30%,"Aadhaar Card, Land ownership document, Bank account details, Soil Health Card",State Agriculture Department Portal,https://pgsindia-ncof.gov.in/,"pulses, organic farming, assam farmer, sonitpur, pkvy, government subsidy, agricultural support"
AGRI013,PMFBY - Odisha Wheat Initiative,Central Government,Odisha,Balasore,Crop Insurance,Wheat,0.0,20.0,Below ₹2.5 Lakh/year,Male & Female,18,70,No,No,No,Need crop insurance,"Farmers residing in Balasore district of Odisha, cultivating Wheat, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal.",Premium subsidy up to 90%,40%,"Aadhaar Card, Land ownership document, Bank account details",State Agriculture Department Portal,https://pmfby.gov.in/,"wheat, crop insurance, odisha farmer, balasore, pmfby, government subsidy, agricultural support"
AGRI014,PMFBY (Pradhan Mantri Fasal Bima Yojana) (Maharashtra Implementation),Central Government,Maharashtra,Nashik,Crop Insurance,Wheat,0.0,20.0,Below ₹1.5 Lakh/year,Male & Female,18,75,No,No,No,Need crop insurance,"Farmers residing in Nashik district of Maharashtra, cultivating Wheat, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal.",Premium subsidy up to 90%,30%,"Aadhaar Card, Land ownership document, Bank account details, Farmer registration certificate, Crop details",Horticulture Department Office,https://pmfby.gov.in/,"wheat, crop insurance, maharashtra farmer, nashik, pmfby, government subsidy, agricultural support"
AGRI015,ATMA (Agricultural Technology Management Agency) Scheme (West Bengal Implementation),Agriculture Department,West Bengal,North 24 Parganas,Skill Development,Wheat,0.0,10.0,Below ₹2.5 Lakh/year,All,18,70,Yes,No,No,Need technical training and guidance,"Farmers residing in North 24 Parganas district of West Bengal, cultivating Wheat, owning between 0.0 and 10.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.","Free training, exposure visits, and demonstrations",Up to ₹10 lakh,"Aadhaar Card, Land ownership document, Bank account details",PM Kisan Portal,State Agriculture Department Portal,"wheat, skill development, west bengal farmer, north 24 parganas, atma, government subsidy, agricultural support"
AGRI016,PM-KUSUM - Haryana Hisar Chapter,State Government,Haryana,Hisar,Irrigation,Rice,2.0,5.0,Below ₹1.5 Lakh/year,All,18,60,No,No,Yes,Need irrigation support,"Farmers residing in Hisar district of Haryana, cultivating Rice, owning between 2.0 and 5.0 acres of land, registered with the state agriculture portal.",Up to 60% subsidy on solar pump installation,Premium subsidy up to 90%,"Aadhaar Card, Land ownership document, Bank account details, Farmer registration certificate, Crop details",NABARD Office,https://pmkusum.mnre.gov.in/,"rice, irrigation, haryana farmer, hisar, pm-kusum, government subsidy, agricultural support"
AGRI017,MIDH - Andhra Pradesh Fruits Initiative,Horticulture Department,Andhra Pradesh,Krishna,Horticulture,Banana,0.0,10.0,None,All,21,60,Yes,No,Yes,Need horticulture support,"Farmers residing in Krishna district of Andhra Pradesh, cultivating Banana, owning between 0.0 and 10.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",35% to 50% subsidy on planting material,Up to ₹1 lakh,"Aadhaar Card, Land ownership document, Bank account details",FPO Office,https://midh.gov.in/,"banana, horticulture, andhra pradesh farmer, krishna, midh, government subsidy, agricultural support"
AGRI018,ATMA (Agricultural Technology Management Agency) Scheme (Madhya Pradesh Implementation),Agriculture Department,Madhya Pradesh,Dewas,Skill Development,Dairy,0.0,2.0,Below ₹5 Lakh/year,All,18,70,Yes,No,No,Need technical training and guidance,"Farmers residing in Dewas district of Madhya Pradesh, cultivating Dairy, owning between 0.0 and 2.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.","Free training, exposure visits, and demonstrations",Up to ₹10 lakh,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable), Farmer registration certificate, Crop details",CSC Center,State Agriculture Department Portal,"dairy, skill development, madhya pradesh farmer, dewas, atma, government subsidy, agricultural support"
AGRI019,"Formation and Promotion of 10,000 FPOs Scheme - Uttar Pradesh Soybean Initiative",FPO Support,Uttar Pradesh,Agra,FPO Development,Soybean,0.0,20.0,Below ₹5 Lakh/year,All,18,70,Yes,No,No,Need market linkage and aggregation,"Farmers residing in Agra district of Uttar Pradesh, cultivating Soybean, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",Up to ₹18 lakh financial support per FPO,Interest subvention of 3%,"Aadhaar Card, Land ownership document, Bank account details, Farmer registration certificate, Crop details",Horticulture Department Office,https://www.sfacindia.com/,"soybean, fpo development, uttar pradesh farmer, agra, formation, government subsidy, agricultural support"
AGRI020,Cooperative Agricultural Credit Structure Scheme - West Bengal Sugarcane Initiative,Cooperative,West Bengal,North 24 Parganas,Credit,Wheat,0.0,2.0,Below ₹5 Lakh/year,All (Priority for Women),21,65,Yes,No,No,Need short term crop credit,"Farmers residing in North 24 Parganas district of West Bengal, cultivating Wheat, owning between 0.0 and 2.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",Low interest short term loans,30%,"Aadhaar Card, Land ownership document, Bank account details, Farmer registration certificate, Crop details",CSC Center,State Agriculture Department Portal,"wheat, credit, west bengal farmer, north 24 parganas, cooperative, government subsidy, agricultural support"
AGRI021,PMKSY (Pradhan Mantri Krishi Sinchayee Yojana) (Telangana Implementation),Central Government,Telangana,Nizamabad,Irrigation,Vegetables,2.0,5.0,Below ₹2.5 Lakh/year,All (Priority for Women),18,75,Yes,No,Yes,Need irrigation support,"Farmers residing in Nizamabad district of Telangana, cultivating Vegetables, owning between 2.0 and 5.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",50% to 55% subsidy on drip/sprinkler,Up to ₹1 lakh,"Aadhaar Card, Land ownership document, Bank account details, Farmer registration certificate, Crop details",CSC Center,https://pmksy.gov.in/,"vegetables, irrigation, telangana farmer, nizamabad, pmksy, government subsidy, agricultural support"
AGRI022,e-NAM - Madhya Pradesh Indore Chapter,State Government,Madhya Pradesh,Indore,Marketing,Onion,0.0,20.0,Below ₹2.5 Lakh/year,All (Priority for Women),21,70,Yes,No,No,Need market linkage,"Farmers residing in Indore district of Madhya Pradesh, cultivating Onion, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",Free access to online trading platform,60%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable)",Block Development Office,https://www.enam.gov.in/,"onion, marketing, madhya pradesh farmer, indore, e-nam, government subsidy, agricultural support"
AGRI023,"Formation and Promotion of 10,000 FPOs Scheme - Karnataka Fruits Initiative",FPO Support,Karnataka,Belagavi,FPO Development,Millet,0.0,20.0,Below ₹5 Lakh/year,All,18,70,Yes,No,No,Need market linkage and aggregation,"Farmers residing in Belagavi district of Karnataka, cultivating Millet, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",Up to ₹18 lakh financial support per FPO,75%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable)",FPO Office,https://www.sfacindia.com/,"millet, fpo development, karnataka farmer, belagavi, formation, government subsidy, agricultural support"
AGRI024,"Formation and Promotion of 10,000 FPOs Scheme - West Bengal Millet Initiative",FPO Support,West Bengal,North 24 Parganas,FPO Development,Pulses,0.0,10.0,None,Male & Female,18,65,Yes,No,No,Need market linkage and aggregation,"Farmers residing in North 24 Parganas district of West Bengal, cultivating Pulses, owning between 0.0 and 10.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",Up to ₹18 lakh financial support per FPO,40%,"Aadhaar Card, Land ownership document, Bank account details",FPO Office,https://www.sfacindia.com/,"pulses, fpo development, west bengal farmer, north 24 parganas, formation, government subsidy, agricultural support"
AGRI025,PMKSY - Tamil Nadu Tiruchirappalli Chapter,State Government,Tamil Nadu,Tiruchirappalli,Irrigation,Cotton,1.0,10.0,Below ₹5 Lakh/year,All (Priority for Women),18,75,No,No,Yes,Need irrigation support,"Farmers residing in Tiruchirappalli district of Tamil Nadu, cultivating Cotton, owning between 1.0 and 10.0 acres of land, registered with the state agriculture portal.",50% to 55% subsidy on drip/sprinkler,Full subsidy for soil testing,"Aadhaar Card, Land ownership document, Bank account details",NABARD Office,https://pmksy.gov.in/,"cotton, irrigation, tamil nadu farmer, tiruchirappalli, pmksy, government subsidy, agricultural support"
AGRI026,Pradhan Mantri Matsya Sampada Yojana - Maharashtra Pune Chapter,State Government,Maharashtra,Pune,Fisheries,Fisheries,0.0,10.0,Below ₹1.5 Lakh/year,Male & Female,21,65,No,No,No,Need aquaculture development,"Farmers residing in Pune district of Maharashtra, cultivating Fisheries, owning between 0.0 and 10.0 acres of land, registered with the state agriculture portal.",40% to 60% subsidy on fishery inputs,Full subsidy for soil testing,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable), Farmer registration certificate, Crop details",FPO Office,https://pmmsy.dof.gov.in/,"fisheries, fisheries, maharashtra farmer, pune, pradhan, government subsidy, agricultural support"
AGRI027,Kisan Credit Card - Bihar Rice Initiative,NABARD Supported,Bihar,Muzaffarpur,Credit,Rice,0.0,5.0,Below ₹1.5 Lakh/year,All,21,75,No,No,No,Need financial assistance,"Farmers residing in Muzaffarpur district of Bihar, cultivating Rice, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal.",Concessional interest rate at 4%,Up to ₹2 lakh,"Aadhaar Card, Land ownership document, Bank account details, Farmer registration certificate, Crop details",PM Kisan Portal,https://www.nabard.org/,"rice, credit, bihar farmer, muzaffarpur, kisan, government subsidy, agricultural support"
AGRI028,PMKSY - West Bengal Hooghly Chapter,State Government,West Bengal,Hooghly,Irrigation,Onion,2.0,10.0,None,All (Priority for Women),18,75,Yes,No,Yes,Need irrigation support,"Farmers residing in Hooghly district of West Bengal, cultivating Onion, owning between 2.0 and 10.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",50% to 55% subsidy on drip/sprinkler,Up to ₹10 lakh,"Aadhaar Card, Land ownership document, Bank account details",Horticulture Department Office,https://pmksy.gov.in/,"onion, irrigation, west bengal farmer, hooghly, pmksy, government subsidy, agricultural support"
AGRI029,Fisheries Infrastructure Development Fund - West Bengal Fisheries Initiative,NABARD Supported,West Bengal,North 24 Parganas,Fisheries,Fisheries,0.0,10.0,Below ₹2.5 Lakh/year,Female Only,21,65,No,Yes,No,Need fisheries storage and market access,"Farmers residing in North 24 Parganas district of West Bengal, cultivating Fisheries, owning between 0.0 and 10.0 acres of land, registered with the state agriculture portal. Must adhere to certified organic farming practices.",Interest subvention up to 3%,75%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable), Farmer registration certificate, Crop details",State Agriculture Department Portal,https://nabard.org/,"fisheries, fisheries, west bengal farmer, north 24 parganas, fisheries, government subsidy, agricultural support"
AGRI030,Soil Health Card Scheme - Rajasthan Ganganagar Chapter,State Government,Rajasthan,Ganganagar,Soil Improvement,Wheat,0.0,5.0,None,Male & Female,21,70,No,No,No,Need soil health assessment,"Farmers residing in Ganganagar district of Rajasthan, cultivating Wheat, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal.",Free soil testing and recommendations,60%,"Aadhaar Card, Land ownership document, Bank account details, Soil Health Card, Farmer registration certificate, Crop details",PM Kisan Portal,https://soilhealth.dac.gov.in/,"wheat, soil improvement, rajasthan farmer, ganganagar, soil, government subsidy, agricultural support"
AGRI031,Horticulture Cluster Development Program (CDP) (Odisha Implementation),Horticulture Department,Odisha,Puri,Horticulture,Mango,0.0,20.0,Below ₹2.5 Lakh/year,Male & Female,18,70,No,Yes,No,Need cluster infrastructure,"Farmers residing in Puri district of Odisha, cultivating Mango, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal. Must adhere to certified organic farming practices.",Up to ₹50 lakh grant for post-harvest support,Up to ₹1 lakh,"Aadhaar Card, Land ownership document, Bank account details",District Agriculture Office,https://midh.gov.in/,"mango, horticulture, odisha farmer, puri, horticulture, government subsidy, agricultural support"
AGRI032,RKVY-RAFTAAR (Rashtriya Krishi Vikas Yojana) (Rajasthan Implementation),State Government,Rajasthan,Udaipur,Subsidy,Vegetables,0.0,2.0,None,Male & Female,18,75,No,No,No,Need financial assistance,"Farmers residing in Udaipur district of Rajasthan, cultivating Vegetables, owning between 0.0 and 2.0 acres of land, registered with the state agriculture portal.",Up to 50% project cost subsidy,Up to ₹1 lakh,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable), Farmer registration certificate, Crop details",Block Development Office,State Agriculture Department Portal,"vegetables, subsidy, rajasthan farmer, udaipur, rkvy-raftaar, government subsidy, agricultural support"
AGRI033,e-NAM (National Agriculture Market) (West Bengal Implementation),Central Government,West Bengal,Nadia,Marketing,Pulses,0.0,2.0,Below ₹5 Lakh/year,All (Priority for Women),18,60,Yes,No,No,Need market linkage,"Farmers residing in Nadia district of West Bengal, cultivating Pulses, owning between 0.0 and 2.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",Free access to online trading platform,60%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable), Farmer registration certificate, Crop details",District Agriculture Office,https://www.enam.gov.in/,"pulses, marketing, west bengal farmer, nadia, e-nam, government subsidy, agricultural support"
AGRI034,PKVY (Paramparagat Krishi Vikas Yojana) (Rajasthan Implementation),Central Government,Rajasthan,Jodhpur,Organic Farming,Millet,0.0,20.0,Below ₹5 Lakh/year,Female Only,18,60,No,Yes,No,Need organic certification,"Farmers residing in Jodhpur district of Rajasthan, cultivating Millet, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal. Must adhere to certified organic farming practices.","₹50,000 per ha assistance for cluster organic farming",50%,"Aadhaar Card, Land ownership document, Bank account details, Soil Health Card, Farmer registration certificate, Crop details",PM Kisan Portal,https://pgsindia-ncof.gov.in/,"millet, organic farming, rajasthan farmer, jodhpur, pkvy, government subsidy, agricultural support"
AGRI035,ATMA - Odisha Dairy Initiative,Agriculture Department,Odisha,Puri,Skill Development,Fruits,0.0,5.0,None,Female Only,18,60,No,No,No,Need technical training and guidance,"Farmers residing in Puri district of Odisha, cultivating Fruits, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal.","Free training, exposure visits, and demonstrations",Up to ₹1 lakh,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable)",PM Kisan Portal,State Agriculture Department Portal,"fruits, skill development, odisha farmer, puri, atma, government subsidy, agricultural support"
AGRI036,National Livestock Mission (NLM) - Dairy/Poultry (Assam Implementation),Central Government,Assam,Kamrup,Dairy,Dairy,0.0,5.0,Below ₹1.5 Lakh/year,All (Priority for Women),21,75,No,No,No,Need dairy development,"Farmers residing in Kamrup district of Assam, cultivating Dairy, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal.",50% capital subsidy for farm setup,Premium subsidy up to 90%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable)",State Agriculture Department Portal,https://nlm.udyamimitra.in/,"dairy, dairy, assam farmer, kamrup, national, government subsidy, agricultural support"
AGRI037,e-NAM (National Agriculture Market) (Kerala Implementation),Central Government,Kerala,Wayanad,Marketing,Pulses,0.0,20.0,Below ₹5 Lakh/year,All,21,70,Yes,No,No,Need market linkage,"Farmers residing in Wayanad district of Kerala, cultivating Pulses, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",Free access to online trading platform,60%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable), Farmer registration certificate, Crop details",NABARD Office,https://www.enam.gov.in/,"pulses, marketing, kerala farmer, wayanad, e-nam, government subsidy, agricultural support"
AGRI038,Fisheries Infrastructure Development Fund (FIDF) (Karnataka Implementation),NABARD Supported,Karnataka,Shimoga,Fisheries,Fisheries,0.0,5.0,Below ₹1.5 Lakh/year,Male & Female,18,75,No,No,No,Need fisheries storage and market access,"Farmers residing in Shimoga district of Karnataka, cultivating Fisheries, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal.",Interest subvention up to 3%,30%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable), Farmer registration certificate, Crop details",CSC Center,https://nabard.org/,"fisheries, fisheries, karnataka farmer, shimoga, fisheries, government subsidy, agricultural support"
AGRI039,ATMA (Agricultural Technology Management Agency) Scheme (Telangana Implementation),Agriculture Department,Telangana,Khammam,Skill Development,Fruits,0.0,10.0,Below ₹5 Lakh/year,Male & Female,21,70,No,No,No,Need technical training and guidance,"Farmers residing in Khammam district of Telangana, cultivating Fruits, owning between 0.0 and 10.0 acres of land, registered with the state agriculture portal.","Free training, exposure visits, and demonstrations",60%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable)",District Agriculture Office,State Agriculture Department Portal,"fruits, skill development, telangana farmer, khammam, atma, government subsidy, agricultural support"
AGRI040,MIDH (Mission for Integrated Development of Horticulture) (Uttar Pradesh Implementation),Horticulture Department,Uttar Pradesh,Kanpur,Horticulture,Fruits,0.0,2.0,Below ₹2.5 Lakh/year,Female Only,18,70,No,Yes,No,Need horticulture support,"Farmers residing in Kanpur district of Uttar Pradesh, cultivating Fruits, owning between 0.0 and 2.0 acres of land, registered with the state agriculture portal. Must adhere to certified organic farming practices.",35% to 50% subsidy on planting material,Up to ₹10 lakh,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable), Farmer registration certificate, Crop details",PM Kisan Portal,https://midh.gov.in/,"fruits, horticulture, uttar pradesh farmer, kanpur, midh, government subsidy, agricultural support"
AGRI041,Cooperative Agricultural Credit Structure Scheme (Tamil Nadu Implementation),Cooperative,Tamil Nadu,Madurai,Credit,Rice,0.0,2.0,Below ₹5 Lakh/year,Male & Female,21,75,No,No,Yes,Need short term crop credit,"Farmers residing in Madurai district of Tamil Nadu, cultivating Rice, owning between 0.0 and 2.0 acres of land, registered with the state agriculture portal.",Low interest short term loans,Up to ₹5 lakh,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable), Farmer registration certificate, Crop details",Horticulture Department Office,State Agriculture Department Portal,"rice, credit, tamil nadu farmer, madurai, cooperative, government subsidy, agricultural support"
AGRI042,Kisan Credit Card (KCC) Scheme (Punjab Implementation),NABARD Supported,Punjab,Bhatinda,Credit,Cotton,0.0,2.0,Below ₹2.5 Lakh/year,All,21,65,No,No,No,Need financial assistance,"Farmers residing in Bhatinda district of Punjab, cultivating Cotton, owning between 0.0 and 2.0 acres of land, registered with the state agriculture portal.",Concessional interest rate at 4%,Up to ₹5 lakh,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable)",Block Development Office,https://www.nabard.org/,"cotton, credit, punjab farmer, bhatinda, kisan, government subsidy, agricultural support"
AGRI043,ATMA - Punjab Wheat Initiative,Agriculture Department,Punjab,Jalandhar,Skill Development,Fruits,0.0,5.0,Below ₹5 Lakh/year,All,18,65,No,Yes,No,Need technical training and guidance,"Farmers residing in Jalandhar district of Punjab, cultivating Fruits, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal. Must adhere to certified organic farming practices.","Free training, exposure visits, and demonstrations",30%,"Aadhaar Card, Land ownership document, Bank account details",Horticulture Department Office,State Agriculture Department Portal,"fruits, skill development, punjab farmer, jalandhar, atma, government subsidy, agricultural support"
AGRI044,ATMA - Punjab Bhatinda Chapter,State Government,Punjab,Bhatinda,Skill Development,Vegetables,0.0,20.0,None,All (Priority for Women),21,65,No,No,No,Need technical training and guidance,"Farmers residing in Bhatinda district of Punjab, cultivating Vegetables, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal.","Free training, exposure visits, and demonstrations",Interest subvention of 3%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable), Farmer registration certificate, Crop details",District Agriculture Office,State Agriculture Department Portal,"vegetables, skill development, punjab farmer, bhatinda, atma, government subsidy, agricultural support"
